"age_Calendar_years_BP","ageolder_BP","ageyounger_BP","depth","Sample quantity","Botryococcus","Corylus","Elaeagnus","Fagus","Liliaceae undiff.","Morus","Prunus-type","Populus","Potamogeton-type","Carduus","Hedera","Phillyrea","Genista-type","Plantago maritima-type","Myrtus communis","Plantago coronopus","Cyperaceae","Lamiaceae undiff.","Saxifraga","Rumex acetosella-type","Alisma-type","Alnus glutinosa-type","Arctium","Quercus pubescens-type","Cistus monspeliensis-type","Teucrium","Aster-type","Urtica dioica-type","Fraxinus angustifolia subsp. oxycarpa-type","Quercus suber-type","Dinoflagellata","Cichorioideae","Sparganium-type","Thalictrum","Quercus ilex-type","Olea europaea","Plantago lanceolata-type","Lotus-type","Artemisia","Isoëtes","Brassicaceae","Erica arborea-type","Pinus","Ruppia","Pistacia","Juniperus-type","Amaranthaceae-type","Poaceae","Lycopodium spike","Lycopodium tablets","Myriophyllum","Salix","Ambrosia","Stachys-type","Mentha-type","Ranunculus-type","Rumex obtusifolius-type","Apium","Tamarix","Galeopsis-type","Asphodelus albus-type","Sedum-type","Thymelaea","Cistus albidus-type","Pteridium aquilinum","Anthoceros laevis","Pteridophyta (monolete) undiff.","Plantago media","Gentiana","Hordeum-type","Chamaerops humilis","Selaginella denticulata","Eryngium","Secale cereale","Vitis","Filago-type","Triticum-type","Campanulaceae","Trifolium","Helianthemum","Cornus sanguinea","Asparagus","Botrychium","Polypodium","Galium-type","Betula","Achillea-type","Caryophyllaceae undiff.","Anthoceros punctatus","Rubus","Castanea sativa","Ficus carica","Lavandula","Delitschia","Allium-type","Ranunculus aquatilis-type","Pteris cretica","Hypericum perforatum-type","Sporormiella-type","Ephedra","Rumex acetosa-type","Centaurea cyanus","Echium","Arbutus","Oenanthe","Ophioglossum","Sordaria-type","Apiaceae undiff.","Illecebrum verticillatum","Poaceae (Cerealia) undiff.","Sambucus","Theligonum cynocrambe","Falcaria","Alnus viridis-type","Euphorbia","Scrophulariaceae","Rosaceae undiff.","Rhamnus","Lathyrus-type","Linum austriacum-type","Carthamus","Pteridophyta (trilete) undiff.","Anogramma leptophylla","Ulmus","Ostrya-type","Paronychia-type","Linaria-type","Corrigiola litoralis","Lycopodium","Rhynchospora alba","Buxus","Silene dioica-type","Reseda-type","Riccia","Nerium oleander","Carlina","Centaurea nigra-type","Bupleurum","Geranium","Fabaceae undiff.","Veronica-type","Armeria-type","Orlaya","Gratiola officinalis","Convolvulus","Podospora-type","Neurospora","Sanguisorba minor-type","Consolida-type","Lamium album-type","Coniochaeta","Onosma","Spergula-type","Urtica pilulifera-type","Geum-type","Carpinus betulus","Polygonum aviculare-type","Avena-type","Daucus","Minuartia","Asphodelus fistulosus","Valeriana","Cannabis-type","Lythrum salicaria-type","Cercophora-type","Mercurialis","Onobrychis-type","Fraxinus ornus","Filipendula","Bryonia","Papaver rhoeas-type","Asplenium-type","Nuphar","Scabiosa","Crocus","Pisum sativum","Acer","Ranunculus arvensis","Ludwigia palustris","Tilia","Utricularia","Prunella-type","Callitriche","Primula","Pediastrum","Valerianella","Abies","Boraginaceae","Radiola linoides","Linum usitatissimum-type","Loranthus europaeus","Pimpinella major-type","Euphrasia","Verbascum","Thelypteris palustris","Taxus baccata","Fagopyrum","Styrax","Ceratonia siliqua","Pseudoschizaea"
-58,NA,NA,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,3,3,3,3,3,4,4,4,4,6,7,10,10,11,11,14,15,21,22,27,52,76,215,230,41697,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
171,NA,NA,10,1,NA,NA,NA,NA,NA,NA,NA,1,1,2,NA,3,NA,3,3,3,7,NA,1,20,1,9,1,1,7,4,3,5,1,NA,10,41,2,1,10,14,15,4,21,14,9,22,10,17,62,82,37,101,375,41697,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,3,3,4,4,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
397,NA,NA,20,1,NA,NA,NA,NA,NA,NA,3,1,NA,6,NA,NA,3,2,1,4,26,1,3,9,3,NA,NA,6,6,11,4,2,NA,NA,8,31,3,NA,16,6,20,9,34,25,10,19,3,24,69,34,64,93,282,41697,2,1,NA,2,1,4,NA,NA,NA,3,1,NA,NA,1,2,2,2,NA,NA,NA,3,NA,2,1,1,7,5,1,1,1,1,1,1,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
620,NA,NA,30,1,NA,NA,NA,NA,1,NA,NA,4,NA,NA,NA,NA,NA,1,4,2,31,1,NA,6,NA,4,1,10,5,2,4,1,3,1,2,1,2,NA,17,26,2,NA,56,5,11,38,3,NA,41,17,114,116,100,41697,NA,NA,NA,1,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,1,1,NA,1,2,10,2,NA,NA,1,2,1,3,NA,2,2,NA,NA,2,NA,1,1,1,1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
837,NA,NA,40,1,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,3,NA,1,20,1,20,NA,1,11,NA,3,1,3,3,4,1,1,4,3,19,4,NA,NA,18,58,6,12,92,12,11,23,NA,4,46,38,45,62,253,41697,1,3,NA,1,NA,3,NA,NA,NA,3,NA,2,NA,1,NA,NA,2,NA,NA,5,5,1,NA,NA,3,1,1,NA,NA,2,NA,NA,1,1,NA,NA,2,1,NA,4,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1379,NA,NA,67,1,NA,1,NA,NA,NA,NA,5,NA,1,NA,NA,1,NA,NA,15,NA,24,NA,NA,8,NA,4,1,4,NA,4,3,NA,4,1,1,2,NA,1,16,53,7,4,78,1,9,11,2,1,81,44,85,50,218,41697,NA,2,NA,1,NA,2,NA,NA,NA,4,NA,NA,NA,3,NA,NA,NA,1,NA,4,NA,1,NA,2,1,NA,7,NA,NA,NA,NA,NA,NA,1,NA,NA,2,NA,NA,NA,NA,NA,1,NA,2,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1453,NA,NA,71,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,5,NA,1,20,1,35,NA,NA,3,NA,4,NA,6,4,NA,2,NA,11,5,NA,2,1,NA,26,66,2,1,85,2,3,10,NA,23,96,63,21,32,266,41697,NA,3,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,6,NA,NA,NA,1,NA,NA,2,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,1,1,1,1,1,1,3,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1541,NA,NA,76,1,NA,NA,NA,NA,NA,NA,NA,1,4,NA,NA,1,NA,1,14,NA,38,NA,NA,8,NA,22,NA,10,23,3,11,NA,3,1,NA,20,9,1,22,27,4,11,69,24,11,27,1,NA,34,31,33,85,417,41697,NA,1,NA,NA,NA,NA,NA,1,2,2,1,1,NA,1,2,3,2,NA,NA,NA,NA,3,NA,NA,6,7,2,NA,NA,NA,1,NA,3,1,NA,1,3,NA,NA,1,NA,1,NA,NA,NA,NA,NA,1,4,3,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1626,NA,NA,81,1,NA,1,NA,NA,NA,NA,NA,1,1,2,NA,4,NA,1,9,1,57,NA,3,15,1,42,NA,11,32,3,5,NA,6,4,1,33,10,NA,23,34,7,1,30,24,16,45,4,6,52,26,30,62,626,41697,NA,7,NA,NA,NA,2,NA,1,3,NA,2,NA,NA,16,1,2,8,1,1,1,2,1,NA,NA,16,5,1,NA,NA,1,NA,NA,1,NA,NA,NA,16,1,NA,2,NA,NA,1,NA,1,NA,NA,NA,6,NA,NA,NA,1,1,1,4,1,5,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,2,2,2,2,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1722,NA,NA,87,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,3,1,1,20,1,40,NA,5,17,NA,25,NA,5,41,2,6,16,4,1,1,26,13,2,8,11,15,6,58,39,11,75,4,1,19,28,33,39,740,41697,NA,1,NA,NA,NA,NA,1,NA,1,NA,1,NA,NA,11,3,5,2,NA,1,NA,NA,2,NA,NA,1,12,NA,NA,NA,1,1,NA,6,2,NA,1,2,NA,NA,2,NA,NA,2,NA,1,2,NA,1,10,1,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1843,NA,NA,95,1,NA,NA,NA,NA,1,NA,NA,NA,1,6,NA,2,NA,2,10,NA,17,NA,1,15,3,59,NA,10,37,3,7,3,5,4,NA,41,34,1,25,14,1,4,14,46,26,55,7,2,9,13,17,45,627,41697,NA,4,1,NA,1,NA,1,NA,3,6,NA,NA,NA,14,1,9,7,1,NA,NA,1,4,NA,NA,10,5,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,4,6,NA,2,NA,NA,NA,NA,NA,NA,NA,1,4,1,1,NA,NA,NA,NA,2,NA,1,NA,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,14,NA,1,1,1,1,1,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2046,NA,NA,110,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA,1,NA,NA,1,4,NA,4,2,NA,17,NA,30,NA,1,55,1,21,NA,2,NA,NA,54,16,1,12,13,5,2,51,35,5,93,1,NA,12,10,19,67,308,41697,NA,1,NA,NA,2,1,NA,1,3,NA,3,NA,NA,5,1,6,NA,NA,NA,NA,NA,4,1,1,1,1,1,NA,NA,1,NA,NA,2,NA,NA,NA,3,NA,NA,1,NA,NA,NA,NA,1,NA,1,1,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2168,NA,NA,120,1,NA,2,NA,NA,NA,1,NA,2,NA,1,NA,1,1,NA,12,NA,82,2,NA,12,NA,41,4,12,45,7,10,2,6,4,1,33,233,1,17,9,5,4,31,29,30,59,5,NA,6,16,23,74,638,62545,1,1,NA,9,4,1,1,1,16,2,NA,1,NA,10,4,5,2,NA,NA,1,NA,6,NA,NA,2,6,NA,NA,3,4,4,NA,NA,NA,NA,1,5,NA,NA,3,NA,NA,11,1,NA,4,2,2,3,1,NA,NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2282,NA,NA,130,1,NA,1,NA,2,NA,NA,1,NA,1,1,NA,3,NA,NA,8,NA,46,NA,NA,NA,NA,28,1,7,23,2,11,1,2,NA,NA,44,6,NA,14,57,6,5,35,45,24,94,4,NA,30,14,23,53,356,41697,NA,NA,2,NA,NA,1,NA,NA,NA,1,2,NA,NA,4,3,6,2,NA,NA,NA,1,5,NA,1,1,2,NA,NA,NA,1,1,NA,3,1,NA,NA,4,1,NA,3,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2389,NA,NA,140,1,NA,1,NA,1,NA,NA,NA,NA,NA,4,NA,2,NA,NA,6,NA,20,NA,NA,10,NA,30,NA,9,31,3,11,1,8,NA,1,42,6,6,18,33,6,5,28,26,37,69,3,NA,23,11,29,51,321,41697,NA,NA,NA,NA,NA,1,NA,NA,NA,5,2,NA,NA,2,4,7,NA,NA,NA,NA,NA,3,2,NA,5,4,1,NA,NA,1,1,NA,3,1,NA,NA,9,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2491,NA,NA,150,1,NA,2,NA,NA,NA,NA,NA,NA,4,1,NA,2,NA,1,10,NA,18,NA,NA,8,NA,17,NA,6,13,4,9,3,5,2,6,NA,2,2,36,47,6,15,37,18,13,69,2,NA,43,20,36,74,268,41697,NA,1,1,NA,NA,2,2,NA,NA,NA,2,NA,NA,NA,NA,2,NA,NA,NA,3,NA,NA,1,2,NA,2,NA,NA,NA,NA,NA,NA,3,2,NA,NA,3,4,1,NA,NA,NA,2,NA,NA,NA,1,1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2588,NA,NA,160,1,NA,2,NA,NA,NA,NA,NA,NA,NA,2,NA,10,NA,NA,12,1,6,1,NA,29,NA,15,NA,7,5,6,4,NA,5,NA,11,23,4,4,48,70,5,10,14,15,7,36,4,2,70,36,33,23,250,41697,NA,NA,NA,3,1,3,NA,NA,NA,13,NA,NA,NA,4,NA,1,1,NA,NA,NA,NA,2,NA,1,3,NA,1,NA,NA,2,NA,NA,1,1,NA,1,4,NA,NA,NA,2,NA,NA,NA,1,3,NA,3,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2679,NA,NA,170,1,NA,4,NA,1,NA,NA,2,NA,NA,1,NA,2,2,NA,12,NA,1,NA,1,11,NA,16,NA,15,3,2,4,NA,10,5,10,6,NA,1,80,43,1,6,14,12,3,76,6,NA,104,3,35,31,554,62545,NA,1,NA,1,2,2,5,2,1,4,2,NA,NA,1,1,3,NA,NA,NA,NA,NA,6,1,1,1,2,NA,NA,NA,NA,NA,NA,2,3,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2763,NA,NA,180,1,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,6,NA,NA,9,NA,5,NA,NA,2,NA,39,NA,18,2,4,3,1,4,4,3,2,NA,1,45,101,4,8,20,1,9,39,3,NA,51,9,48,66,140,41697,NA,NA,NA,3,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,2,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2842,NA,NA,190,1,NA,1,NA,NA,NA,NA,4,1,2,NA,NA,3,NA,NA,2,1,11,NA,3,4,NA,25,NA,20,2,5,5,2,16,4,1,10,NA,2,43,110,6,17,20,10,12,67,3,NA,43,9,32,21,208,41697,NA,NA,NA,5,NA,1,NA,3,NA,7,1,NA,NA,NA,1,2,4,NA,NA,NA,NA,1,NA,NA,3,NA,1,NA,NA,NA,NA,NA,2,NA,NA,2,3,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2879,NA,NA,195,1,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,9,NA,1,9,NA,2,NA,NA,14,NA,18,NA,12,5,NA,1,NA,9,16,6,14,NA,NA,46,101,3,3,3,17,10,46,6,14,59,13,22,39,291,41697,NA,3,NA,2,2,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,2,NA,NA,1,1,1,NA,NA,1,NA,NA,NA,1,NA,NA,1,NA,2,NA,NA,11,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,3,NA,1,NA,2,1,1,NA,NA,2,NA,4,NA,NA,NA,NA,2,NA,NA,NA,1,NA,NA,NA,1,NA,NA,4,NA,2,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
