"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Lycopodium tablets","Sample quantity","Citrus","Juncaceae","Cichorioideae","Pinus subg. Pinus","Pinus subg. Strobus","Sagittaria","Salix","Thalictrum","Lythrum","Rubiaceae","Corylus avellana","Fagus sylvatica","Liliaceae-type","Tamarix","Eryngium","Anthemis-type","Plantago coronopus-type","Plantago maritima-type","Anthericum","Apium-type","Erica arborea-type","Gnaphalium-type","Odontites-type","Onobrychis","Quercus pubescens-type","Ornithopus","Chaerophyllum hirsutum-type","Carlina","Saxifraga tridactylitis-type","Trachycarpus fortunei","Urtica membranacea-type","Poaceae (Cerealia-type)","Paronychia-type","Hypericum perforatum-type","Urtica dioica-type","Peucedanum-type","Artemisia","Bidens-type","Cuscuta","Vitis","Reseda-type","Smyrnium-type","Trifolium repens-type","Plantago lanceolata-type","Mercurialis annua","Fabaceae","Typha latifolia-type","Echium","Cladium mariscus","Falcaria-type","Mentha-type","Amaranthaceae-type","Ceratophyllum","Eucalyptus","Rumex acetosella","Juniperus-type","Quercus ilex-type","Olea","Ruppia","Brassicaceae","Pistacia","Astragalus-type","Cyperaceae","Sparganium-type","Poaceae","Charcoal","Lycopodium for charcoal","Spike","Pediastrum","Xanthium","Populus","Allium-type","Prunella-type","Carduus","Daphne","Cistus","Fraxinus ornus","Sedum-type","Fraxinus excelsior-type","Iris pseudacorus-type","Pimpinella major-type","Solanum nigrum-type","Amaranthus","Ammi-type","Chaerophyllum-type","Anthoceros laevis","Apiaceae","Papaver rhoeas-type","Daucus","Hippocrepis-type","Ornithogalum-type","Phragmites australis","Quercus cerris-type","Potentilla-type","Tuberaria","Calendula","Alnus glutinosa-type","Turgenia latifolia","Lotus-type","Cyperus-type","Spirogyra-type","Plantago major","Rubus","Ostrya-type","Rosaceae","Potamogeton-type","Teucrium","Phillyrea","Ephedra distachya-type","Trifolium pratense-type","Alisma-type","Lithospermum officinale","Viburnum tinus","Nigella","Theligonum cynocrambe","Cerinthe","Ligusticum mutellina","Helleborus viridis","Cynoglossum officinale-type","Urtica pilulifera","Equisetum","Isoëtes","Ononis-type","Castanea sativa","Genista-type","Linum usitatissimum","Asparagus","Mougeotia","Rumex obtusifolius-type","Celtis australis","Cercophora-type","Chamaerops humilis","Cannabis sativa","Stachys-type","Helianthemum","Ephedra fragilis-type","Solanum dulcamara","Caltha-type","Rhamnus","Cerastium-type","Carpinus betulus","Scabiosa","Aster-type","Asphodelus albus-type","Borago officinalis","Sanguisorba minor-type","Carthamus","Sideritis","Centaurium","Scrophularia-type","Bellis","Ranunculus acris-type","Convolvulus","Hedera helix","Polygonum aviculare-type","Vicia-type","Filipendula","Gladiolus-type","Scrophulariaceae","Sporormiella","Podospora-type","Betula","Cedrus","Knautia","Sagina","Sanicula europaea","Bituminaria bituminosa","Polypodium","Pteridium aquilinum","Lamiaceae","Cirsium","Gypsophila arrostii","Ophioglossum lusitanicum","Rumex acetosa-type","Serratula-type","Asphodelus fistulosus","Simethis planifolia","Medicago falcata-type","Polypodiophyta (monolete)","Alnus viridis","Spergula-type","Buxus sempervirens","Rumex scutatus-type","Platanus","Ulmus","Anthyllis","Linaria-type","Myrtus communis","Valerianella","Arbutus","Euphorbia","Geranium","Ranunculus sect. Batrachium","Matthiola-type","Ficus carica","Oenanthe","Boraginaceae","Succisa","Humulus lupulus","Coriaria","Veronica","Centaurea nigra-type","Sambucus nigra","Senecio-type","Taxus baccata","Utricularia","Eupatorium","Abies","Limonium","Dinoflagellata","Sorbus-type","Menyanthes trifoliata","Diporotheca","Scorzonera humilis-type","Anemone hortensis-type","Calligonum","Dorycnium","Silene vulgaris-type","Rhus","Acanthus","Lysimachia vulgaris-type","Lygeum spartum","Clematis","Silene viscaria-type","Verbena officinalis","Colchicum-type","Tilia","Ligustrum","Calystegia","Tofieldia","Picea","Hydrocotyle","Persicaria maculosa-type","Agrimonia-type","Trollius europaeus","Silenoideae-type","Thelypteris palustris","Zelkova","Acacia","Saxifraga granulata-type","Fedia cornucopiae","Acer","Riccia","Ustulina deusta","Anogramma leptophylla","Tilletia sphagni","Cheilanthes-type","Euphrasia-type","Asplenium-type","Phlomis","Petasites","Ranunculus lingua-type","Mercurialis perennis","Anthriscus sylvestris-type","Morus","Prunus-type","Myriophyllum spicatum","Rosa","Heracleum","Herniaria-type"
-50,NA,NA,1,"10679, 4","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","2","2","2","2","2","3","3","3","3","3","3","4","4","4","5","5","5","5","5","6","6","7","8","8","10","12","14","15","24","25","28","34","51","73","92","111","230","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
6,NA,NA,20,"10679, 4","1","","","7","","1","","","","3","1","","","","2","1","1","1","1","","1","2","","1","","3","","","1","","","1","3","1","","5","1","4","","","1","3","1","6","4","7","6","3","2","8","4","5","8","6","7","12","15","13","13","16","29","31","11","35","97","94","120","82","319","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","2","2","2","2","2","2","2","3","3","3","4","4","5","7","15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
67,NA,NA,40,"10679, 4","1","","2","2","","2","","","","3","","","","3","2","2","2","1","4","","5","5","","","","1","1","","","","","1","2","1","2","2","3","5","","2","4","3","4","5","15","2","7","5","4","11","2","8","8","14","1","20","5","7","16","24","37","9","42","42","84","60","123","93","259","4","","","","","2","","2","","1","1","","1","","1","1","1","","3","","","","3","3","","","1","","1","","3","12","18","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","2","2","2","2","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
203,NA,NA,80,"10679, 4","1","","","6","","","","","","","1","1","","","1","1","1","2","1","","8","3","","","","","","","","","","8","4","3","","10","","3","","3","","","","","9","7","","5","3","2","3","1","8","19","","16","5","3","4","41","3","6","2","44","61","67","98","107","221","","","","","","1","","1","1","","","","","1","","","","","","","","","","1","","","","1","1","","","1","27","","1","","","","1","","","","","2","","","3","","","","","1","","","","","","1","","1","1","1","3","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
367,NA,NA,100,"10679, 4","1","","","5","","1","","","3","","3","","","","3","","3","3","","","2","2","","","","3","","2","","","","2","1","4","1","28","1","18","","4","","","1","2","17","15","","4","3","32","4","8","13","34","","18","3","16","29","36","3","23","6","34","78","149","99","105","387","","","1","1","","","","1","1","","","","","1","","1","","","1","","","","1","","2","","","1","1","","","3","10","","","","1","2","","2","","","2","","","","2","","","","","","","2","","2","","","","","","","","1","1","1","1","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
531,NA,NA,120,"10679, 4","1","","","12","1","1","","1","","1","5","","","1","","5","3","","2","","6","25","","","","2","","2","","","","6","3","1","1","10","1","8","","20","","7","4","5","8","3","","","21","11","6","26","10","24","","8","1","33","25","12","17","30","29","14","21","80","109","92","250","","","","1","","6","","","","","","","","","","","1","","5","","1","6","4","","","","7","1","2","","1","","6","","2","","","1","","","","","1","","","","1","","","","4","","","1","","1","2","1","2","","","1","","","1","","","","","1","1","1","1","1","1","1","1","1","1","1","2","2","2","3","4","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
695,NA,NA,140,"10679, 4","1","","","5","1","1","","1","","3","","","","","","","7","7","1","","2","14","","","","2","","","","","","3","6","3","1","11","4","10","","10","","","5","","15","7","","1","4","9","1","8","9","50","","8","3","11","11","2","19","8","6","73","49","110","103","98","327","","","","","","2","1","2","","","","","","","","","2","","","","2","","3","1","1","","","3","1","2","1","4","6","","","","","","","2","","","1","","","","1","","","","1","2","","","","","4","1","3","4","","1","1","1","1","","","","1","","","","","","1","","","","","","","","","1","1","3","1","1","1","1","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
859,NA,NA,160,"10679, 4","1","","","11","","1","","1","1","","3","1","","5","2","1","3","","","","3","10","","","","1","1","2","1","","","11","2","3","","20","4","7","","1","","","16","3","10","10","3","","","9","","15","9","","","9","3","20","16","2","3","11","","47","74","101","149","61","320","","","","1","","5","","6","","1","","","1","","1","","1","","1","","3","","4","","6","2","3","1","","12","2","18","27","","1","1","","1","","1","","","1","1","","","1","","","","","5","","","","2","","","1","3","","","1","12","","","","","","","","","","","1","","","","","","","","","3","","1","","","","","1","1","1","1","1","1","1","1","1","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1023,NA,NA,180,"10679, 4","1","","","","2","1","","","","","","1","","3","","1","2","8","3","","4","1","","","","3","","2","","","","1","4","3","","19","3","13","","1","","","1","","13","13","2","","2","33","4","","8","2","","15","5","7","4","4","7","6","1","59","117","168","150","50","281","","","1","","","1","","","","","1","","","","","","3","","3","","","","","5","3","","","2","2","","","9","11","1","","1","","1","","1","","","1","","","","3","","","","1","3","","1","","","2","","","","","","","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","","","","","","","","1","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1188,NA,NA,200,"10679, 4","1","","","38","","2","","","","","2","1","","","","1","2","2","3","1","10","2","","","","1","","1","","","","3","2","6","1","17","4","6","","","1","","1","","2","14","","","","18","","","14","1","","4","3","","","12","7","9","4","41","44","101","260","18","273","1","","","1","","1","","","1","","","","","","","","","","7","","5","","","7","4","","","1","1","","","1","20","","","","","","","","","","2","","","","3","","","","","6","","","","","1","","","","","1","1","10","","","","1","1","","1","","","","2","","","","","","","6","","","","","","","","","","1","","","","","","","","","","","","","","1","1","1","1","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
