"age_Calendar_years_BP","ageolder_BP","ageyounger_BP","depth","Lycopodium tablets","Sample quantity","Citrus","Juncaceae","Cichorioideae","Pinus subg. Pinus","Pinus subg. Strobus","Sagittaria","Salix","Thalictrum","Lythrum","Rubiaceae","Corylus avellana","Fagus sylvatica","Liliaceae-type","Tamarix","Eryngium","Anthemis-type","Plantago coronopus-type","Plantago maritima-type","Anthericum","Apium-type","Erica arborea-type","Gnaphalium-type","Odontites-type","Onobrychis","Quercus pubescens-type","Ornithopus","Chaerophyllum hirsutum-type","Carlina","Saxifraga tridactylitis-type","Trachycarpus fortunei","Urtica membranacea-type","Poaceae (Cerealia)","Paronychia-type","Hypericum perforatum-type","Urtica dioica-type","Peucedanum-type","Artemisia","Bidens-type","Cuscuta","Vitis","Reseda","Smyrnium-type","Trifolium repens-type","Plantago lanceolata-type","Mercurialis annua","Fabaceae","Typha latifolia-type","Echium","Cladium mariscus","Falcaria-type","Mentha-type","Amaranthaceae-type","Ceratophyllum","Eucalyptus","Rumex acetosella","Juniperus-type","Quercus ilex-type","Olea","Ruppia","Brassicaceae","Pistacia","Astragalus-type","Cyperaceae","Sparganium-type","Poaceae","Lycopodium spike","Pediastrum","Xanthium","Populus","Allium-type","Prunella-type","Carduus","Daphne","Cistus","Fraxinus ornus","Sedum-type","Fraxinus excelsior-type","Iris pseudacorus-type","Pimpinella major-type","Solanum nigrum-type","Amaranthus","Ammi-type","Chaerophyllum-type","Anthoceros laevis","Apiaceae","Papaver rhoeas-type","Daucus","Hippocrepis-type","Ornithogalum-type","Phragmites-type","Quercus cerris-type","Potentilla-type","Tuberaria","Calendula","Alnus glutinosa-type","Turgenia latifolia","Lotus-type","Cyperus-type","Spirogyra-type","Plantago major","Rubus","Ostrya-type","Rosaceae","Potamogeton-type","Teucrium","Phillyrea","Ephedra distachya-type","Trifolium pratense-type","Alisma-type","Lithospermum officinale","Viburnum tinus","Nigella","Theligonum cynocrambe","Cerinthe","Ligusticum mutellina","Helleborus viridis","Cynoglossum officinale-type","Urtica pilulifera","Equisetum","Isoëtes","Ononis-type","Castanea sativa","Genista-type","Linum usitatissimum","Asparagus","Mougeotia","Rumex obtusifolius-type","Celtis australis","Cercophora-type","Chamaerops humilis","Cannabis sativa","Stachys-type","Helianthemum","Ephedra fragilis-type","Solanum dulcamara","Caltha-type","Rhamnus","Cerastium-type","Carpinus betulus","Scabiosa","Aster-type","Asphodelus albus-type","Borago officinalis","Sanguisorba minor-type","Carthamus","Sideritis","Centaurium","Scrophularia-type","Bellis","Ranunculus acris-type","Convolvulus","Hedera helix","Polygonum aviculare-type","Vicia-type","Filipendula","Gladiolus-type","Betula","Cedrus","Knautia","Sagina","Sanicula europaea","Bituminaria bituminosa","Polypodium","Sporormiella","Podospora-type","Pteridium aquilinum","Lamiaceae","Cirsium","Gypsophila arrostii","Ophioglossum lusitanicum","Rumex acetosa-type","Serratula-type","Asphodelus fistulosus","Simethis planifolia","Medicago falcata-type","Pteridophyta (monolete) undiff.","Alnus viridis","Spergula-type","Buxus sempervirens","Rumex scutatus-type","Platanus","Ulmus","Anthyllis","Linaria-type","Myrtus communis","Valerianella","Arbutus","Euphorbia","Geranium","Ranunculus sect. Batrachium","Matthiola-type","Ficus carica","Oenanthe","Boraginaceae","Succisa","Humulus lupulus","Coriaria","Veronica","Centaurea nigra-type","Sambucus nigra","Senecio-type","Taxus baccata","Utricularia","Eupatorium","Abies","Limonium","Dinoflagellata","Sorbus-type","Menyanthes trifoliata","Scorzonera humilis-type","Anemone hortensis-type","Diporotheca","Calligonum","Dorycnium","Silene vulgaris-type","Rhus","Acanthus","Lysimachia vulgaris-type","Lygeum spartum","Clematis","Silene viscaria-type","Verbena officinalis","Colchicum-type","Tilia","Ligustrum","Calystegia","Tofieldia","Picea","Hydrocotyle","Persicaria maculosa-type","Agrimonia-type","Trollius europaeus","Silenoideae-type","Thelypteris palustris","Zelkova","Acacia","Saxifraga granulata-type","Fedia cornucopiae","Acer","Riccia","Anogramma leptophylla","Ustulina deusta","Tilletia sphagni","Cheilanthes-type","Euphrasia-type","Asplenium-type","Phlomis","Petasites","Ranunculus lingua-type","Mercurialis perennis","Anthriscus sylvestris-type","Morus","Prunus-type","Myriophyllum spicatum","Rosa","Heracleum","Herniaria-type"
8141.134,NA,NA,740,"10679, 4","1","","","4","","5","","","","","2","8","","","","","","","1","","","5","2","1","","5","","","","1","","","1","","","88","1","","","","16","","2","","10","1","","","1","66","1","","6","","","7","2","4","","","4","74","","21","51","96","154","35","","","","","1","","","2","1","1","","","","","","","2","1","","","","","15","5","","","","2","","","3","","","","","","4","","","","","","","","","1","","","","1","","","1","","","","","","","","","","","","","","1","","","2","","5","","1","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","1","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
8231.715,NA,NA,750,"10679, 4","1","","","10","","2","","","","","","2","","","","","1","","4","","","8","","","","4","","","","","","4","3","","","34","2","","","","11","1","","","3","2","","","","27","","","1","","","1","3","10","94","","4","20","2","9","10","77","346","20","","2","","","","","","1","","6","","","","","","1","","1","","1","","","4","4","","","","2","","1","1","","","","1","","3","1","1","","","","1","","","","","","","","","","1","","","","","","","","","","","","","","","7","","3","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","2","1","","","","","","","","1","","","","","","","1","","","","","","1","","","","","","","","","","","1","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
8308.043,NA,NA,770,"10679, 4","1","","","2","1","","","","","","1","3","","","1","2","","","2","","","3","","","","7","","","","","","","","","","39","7","1","","","11","","","","11","","","1","1","35","","","2","","","","3","12","","2","7","63","","7","22","105","291","53","","1","","","1","","","1","1","1","","","1","","","","","","","","1","","14","1","","","","1","","","","","","","1","","1","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","3","2","","","","1","","1","","","","","","","","1","","","","","","","","","1","","","","","2","","","","","","","1","","","","","","1","","","","3","","1","","","","","","1","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
8346.207,NA,NA,780,"10679, 4","1","","","6","3","2","","","","1","","4","","","","","2","","2","","","7","","","","17","","","","","","","","","","31","1","2","","","7","","3","","9","","","","","66","","","7","","","6","2","7","91","","9","51","","23","2","101","464","2","","","","","1","","","2","","1","","","","","","","","","","1","","","10","2","","","1","1","","","4","","1","","9","1","2","","","","","","","","","","","","","","","","","","","","","1","","","1","","1","","","","","","","1","","","","4","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","1","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","",""
8422.535,NA,NA,800,"10679, 4","1","","","","1","","","","","","1","4","","","","","","","2","","","7","","","","13","","1","","","","1","","1","","44","3","2","","","12","","4","","7","","","","","76","","","7","","","3","3","11","2","","3","29","","8","20","142","436","21","","","","","1","","","","2","3","","","","","","","1","1","","1","","","4","1","","","","","","","1","2","","","2","","1","","1","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","4","","","","","","","","","1","","","","","","","","","","","","","1","","","","","","2","","","2","","","","1","","","","","","1","","","","","","2","","","","","","1","","","","","","","","","","1","","","","1","","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
8498.863,NA,NA,820,"10679, 4","1","","","5","","3","","","1","","","6","","","","","1","","1","","","13","","","","11","","","","","","1","","1","","90","","","","","13","","","","2","","","1","","38","","","5","","","3","1","6","","","5","66","1","15","45","97","338","125","","","","","","","","1","","2","","","","","","","1","","","1","","","8","2","","","1","2","","","7","","","","5","","1","","4","1","","","","","","1","","","","","","","","","","","","","","","","","1","","","","1","","","4","","2","","2","","","","","","","","","1","","","","","","","","","","","","","","","","1","","","","2","2","","","","","","","","","","","1","","","","","","1","","","","","","","","","","","","","","1","","12","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","1","","","","","","","","","","","","","",""
8575.192,NA,NA,840,"10679, 4","1","","","1","2","2","","","","","","8","1","1","","","1","","2","","","1","","","","12","","2","","","","","","","","40","3","","","","19","","","","3","","","","","50","","","3","","","3","5","5","","","1","68","","17","10","117","344","17","","","","","","","","1","","4","","","","","","2","1","","","1","","","7","","","","","1","","1","6","1","","","1","","6","1","1","","","","","","","3","","","","","","","","","","","","","","","","","","","","","1","1","","2","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","1","","","","","","2","","1","","","","","","","","","","","","1","","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
8651.52,NA,NA,860,"10679, 4","1","","","1","3","1","","","","","","4","","2","","1","","","1","","","2","","","","9","","","","1","","","","","","40","4","6","","","6","","","","3","","","1","","15","","","1","","","","1","2","","","4","40","","18","8","66","312","78","","","","","1","","","","","3","","","","","","","","1","","","","","2","","1","","","1","","","","","","","2","","1","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","4","","","","","","","","","","","","","","","","2","1","","","","","","","","","","","","","","","","","","","","","","4","","1","","","","","","1","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
8727.848,NA,NA,880,"10679, 4","1","","","4","6","3","","","","","1","12","","","","","1","","2","","","8","","1","","16","","2","","","","2","","1","","63","10","1","","","16","1","1","","5","1","","","","81","1","","4","","","5","1","29","","","9","85","","23","32","113","423","29","","","","","","","2","1","","3","","","","","","","1","1","","","","1","12","","","","1","1","","","6","","","","6","","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","1","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","1","","","","","","","","","","1","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","1","","","","","","","","","","","","",""
8804.176,NA,NA,900,"10679, 4","1","","","5","","2","","","","","","15","","","1","3","1","","5","","1","10","","","","7","","1","","","","","","","","32","3","2","","","19","","","","10","1","","","","22","","","5","","","7","7","3","","1","2","85","","17","2","108","482","19","","","","","","","","1","","2","","","","","","","2","2","","","","","5","5","","","","1","","","2","","","","","","18","","2","2","","2","","","","","","","","","","","1","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","3","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","2","","","","","","","","","","","","","2","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","2","","","","","","","","","",""
8880.505,NA,NA,920,"10679, 4","1","","","1","2","1","","","","","","5","","","1","","1","","1","","","3","","","","4","","","","","","","","","2","53","3","3","","","32","","3","","6","3","3","","3","36","","","4","","","9","","7","","","3","94","","14","9","119","582","53","","","1","","","","","","","1","","","1","","","","1","","","1","","","12","6","","","","2","","","3","","","","2","","2","","","","","","","","","","","","","","","","1","","","","","","","","1","","","","1","","","1","","","","","","2","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","1","","","","2","","","","","","1","","","","","","","","","","","","","","1","","10","1","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
8956.832,NA,NA,940,"10679, 4","1","","","2","2","2","","","","","","5","","","","1","2","","1","","","3","","","","9","","1","1","","","","1","","","29","4","","","","16","","","","2","","","","","15","","","2","2","","3","1","7","","","2","67","","15","1","86","423","27","","2","","","1","","","","","1","","","","","","","","1","","2","","","5","1","","","","1","","","","","","","1","","3","","4","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","1","","1","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","1","","1","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
9025.527,NA,NA,958,"10679, 4","1","","","2","3","2","","","","","","9","","","","1","3","","3","","","4","","","","8","","","","","","","","","","24","13","","","","8","","","","4","","","","","27","","","8","","","1","1","5","","","6","98","","13","7","115","381","170","","","","","3","","","","","1","","","2","","","","","3","","1","1","","15","2","","","","1","","1","3","","","1","","","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","4","","","","","","4","","","","","","","","","","","","","","","","","","","","","","","","","1","","","1","1","1","","","","","1","","","","","","","","","","","","2","","","","","","","","","","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","1","","","","","","","","",""
9109.488,NA,NA,980,"10679, 4","1","","","2","3","","","","","","2","9","","1","","2","","","1","","1","1","1","","","3","1","","","","","","","","","39","9","1","","","1","","","","4","1","","","","19","","","6","1","","3","2","5","","","4","93","1","15","8","121","688","61","","","","","1","","","","","1","","","","","","1","","","","1","","","1","","","","","1","","","","","","","3","","5","","3","","","","","","","1","","","","1","","","","","","","","","","","","1","","","","2","1","4","","1","","1","","5","","1","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","2","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","",""
9195.164,NA,NA,1002,"10679, 4","1","","","3","4","4","","","","","","5","","","","","2","","3","","","6","","","","4","","","","","","","","","2","40","10","1","","","3","","1","","2","","","","1","5","","","4","","","1","5","5","","","2","105","","13","18","150","705","387","","","","","","","","","","1","","","","","","1","","1","","","","1","3","","","","1","","","","3","1","","1","","","9","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","3","5","","","","","","","","","","","","","","","","","","","","","","1","","","","","","1","","","","","","","1","1","","","","","","","","","","","3","","","","","","2","","","","","","","","","","","","","2","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","2","","","","","",""
9274.146,NA,NA,1020,"10679, 4","1","","","1","","","","","","3","","4","","","","1","","","1","","1","4","","","","8","","2","","","","","","","1","37","4","1","","","","","","","6","1","","1","","11","","","2","","","1","6","5","","","4","81","1","16","3","104","467","21","","","","","1","","","","","1","","","","","","","","","","1","","","12","","1","","","1","","","","","","","2","","2","","","","","2","","","","2","","","","","","","","","","","","","","","1","","","","","","1","1","","1","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","1","","","","","","","","","","","","2","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","",""
9361.905,NA,NA,1040,"10679, 4","1","","","2","1","4","","","","","1","12","","","","4","","","10","","","18","","","","15","","1","","","","","","","","34","12","3","","","","","","","6","","","","","55","","","1","","","1","5","6","","","2","149","","16","","56","539","20","","","","","1","","","","","2","","","","","","","1","2","","","","","2","","","","","1","","","","","","","1","","6","1","2","1","","","","","","2","","","","","","","","","","","","","","","1","","","","","","","","","1","","","","3","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","2","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","",""
9537.423,NA,NA,1080,"10679, 4","1","","","2","2","2","","","","","1","5","1","1","","4","","","1","","","3","","","","11","","","","","","","1","","","36","3","1","","","4","","","","4","","","","","29","","","2","","","1","","2","","","4","83","","25","9","89","75","43","","","","","","","","1","","4","","","","","","","1","","","1","1","","13","2","","","3","1","","","1","","","","1","","5","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","4","","1","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","2","","","","","","","","","","","","","","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
9625.181,NA,NA,1100,"10679, 4","1","","","9","","3","","1","","","","8","","1","","3","1","","4","","","1","","1","","5","","3","","","","2","2","","1","79","19","","","","","","","1","35","","","","1","13","","","3","","","","1","3","","","32","132","1","11","12","101","106","94","","2","","","","","","1","","2","","","","","","","3","3","","","","","9","","","","","1","","1","2","","","","1","","33","","","","","","","","","3","","","","","","","1","","","","","","","","1","","","","","1","1","1","","2","","1","","1","","","","","","","","","","","","","","","","1","","","","","","1","","","1","","","","1","","","","","","","","","","4","","2","","","","","","1","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","1","","","",""
9712.939,NA,NA,1120,"10679, 4","1","","","3","1","3","1","1","","","1","4","1","","","6","","","2","","","4","","","","11","","3","","","","5","","","","57","22","2","","","","","","","1","1","","1","","27","","","4","","","1","3","8","","","10","119","2","26","12","103","195","98","","","","","1","","","","","2","","","","","","","","","","","","","7","","","","","","","","2","","","1","","","34","","1","1","","","","","","1","","","","","","","2","","","","","","","","1","","","","","","","3","","","","","","1","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","1","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","1","","","","","","","","","4","","",""
9800.698,NA,NA,1140,"10679, 4","1","","","10","","4","","","","","1","6","","1","","2","1","","2","","2","","","","","4","1","4","","","","","","","","94","19","5","","","","","","","6","1","1","","","15","","","3","3","","","1","","","","10","8","","23","17","73","138","71","","","","","1","","","","","1","","","2","","","","1","","","","","","4","","1","","","","","","","","","","","","40","","","","","","","","","4","","","","","","","","","","1","","","","","1","","","","","","2","10","","","","","","","1","","","","","","","","1","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","2","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","",""
9888.457,NA,NA,1160,"10679, 4","1","","","22","2","4","","1","","","","9","","2","6","","1","","7","","","4","","","","7","3","5","","","","4","","","","183","32","11","","","","","1","2","7","","2","","1","18","2","","8","","","","5","3","","","43","4","4","36","60","112","264","120","","","","","1","","","1","","","","","","","","","2","6","","","1","","11","5","1","","","1","","","1","","","","1","","40","","","","","","","","","3","","","","","","","","","","","","","","","2","","","","","","2","26","","","","","","3","1","","","","","","","","3","","","","","1","","6","","","","","","","","","","","","","2","","","","","","","","1","","","","4","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","6","1","",""
9976.216,NA,NA,1180,"10679, 4","1","","","16","1","","","","","","","2","","1","7","","","","","","","4","","","","3","","2","","","","","","","","118","16","4","","","","","","","6","","","","","18","","","4","2","","","3","","","","28","2","","49","22","57","60","94","","1","","","3","","","","","","","1","","","","","","1","","","","","7","","","1","","","","1","","","","","","","18","","","","","","","","","1","","","","1","","","","","","","","","","","","","","","","","","11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","1","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","","1","1"
10186.84,NA,NA,1228,"10679, 4","1","","","12","","1","","","","","1","2","","","1","6","1","","1","","4","1","","","","2","","","","","","5","","","","109","18","8","","","","","","","2","","","","","26","","","10","34","","1","3","4","","1","32","","4","35","39","68","93","217","","1","","","1","","","","","4","","2","1","","","","","2","","","","","5","1","","","","1","","","2","","","","","","5","","","","","1","","","","1","","","","1","","","","","","","","","","","","","","","","","","1","","","","","","2","1","","","3","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","3","","","","","","1","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","3","","",""
