Taxon (original name),Taxon (revised nomenclature),Family name,Pollen habit (code),Pollen habit (name),Plant habit,,,,,
Psidium type,Psidium-type,MYRTACEAE,A,tree,trees or shrubs,,,,,
Sizygium,Syzygium-type,MYRTACEAE,A,tree,trees,,,,,
Sysygium guineense,Syzygium-type guineense,MYRTACEAE,A,tree,evergreen tree,,,,,
Syzygium,Syzygium-type,MYRTACEAE,A,tree,trees,,,,,
Syzygium cf. S. guineense,Syzygium-type guineense,MYRTACEAE,A,tree,evergreen tree,,,,,
SYZYGIUM GUINEENSE,Syzygium-type guineense,MYRTACEAE,A,tree,evergreen tree,,,,,
Syzygium sp.,Syzygium-type,MYRTACEAE,A,tree,trees,,,,,
Syzygium type,Syzygium-type,MYRTACEAE,A,tree,trees,,,,,
Syzygium* guineense,Syzygium-type,MYRTACEAE,A,tree,trees,,,,,
Syzygium-type,Syzygium-type,MYRTACEAE,A,tree,trees,,,,,
Syzygium-type staudtii,Syzygium-type staudtii,MYRTACEAE,A,tree,Tree to 30 m tall,,,,,
type Eugenia/Syzygium,Eugenia/Syzygium,MYRTACEAE,A,tree,trees,,,,,
Rhus-t,Rhus-type,ANACARDIACEAE,A,tree,trees or shrubs,,,,,
Rhus-type tripartita,Searsia-type tripartita,ANACARDIACEAE,A,tree,a low spiny bush,,,,,
Rhus-type vulgaris,Rhus-type pyroides,ANACARDIACEAE,A,tree,evergreen shrub or small tree 2-10 m high,,,,,
Schinus-type,Schinus-type,ANACARDIACEAE,A,tree,trees,,,,,
Sclerocarya,Sclerocarya-type,ANACARDIACEAE,A,tree,small to medium trees,,,,,
Sclerocarya birrea-type,Sclerocarya-type birrea,ANACARDIACEAE,A,tree,deciduous spreading tree to 18 m high,,,,,
Sclerocarya/Rhus,Anacardiaceae undiff.,ANACARDIACEAE,A,tree,trees,,,,,
Searsia,Searsia-type,ANACARDIACEAE,A,tree,shrub or tree 4-8 m high,,,,,
Drypetes molundiana-type,Drypetes-type molunduana,EUPHORBIACEAE,A,tree,small tree to 4 m high,,,,,
Drypetes sp.,Drypetes-type,EUPHORBIACEAE,A,tree,trees or shrubs,,,,,
Drypetes-type,Drypetes-type,EUPHORBIACEAE,A,tree,trees or shrubs,,,,,
Elaeophorbia,Elaeophorbia-type,EUPHORBIACEAE,A,tree,trees,,,,,
ELAEOPHORBIA*,Elaeophorbia-type,EUPHORBIACEAE,A,tree,trees,,,,,
Elaeophorbia-type drupifera,Elaeophorbia-type drupifera,EUPHORBIACEAE,A,tree,tree,,,,,
Erythrococca africana,Erythrococca-type africana,EUPHORBIACEAE,A,tree,Erect shrub or tree 3-5 m tall,,,,,
Aesculus (2 espèces),Aesculus,HIPPOCASTANACEAE,A,tree,trees,,,,,
Sacogliottis gabonensis,Sacoglottis gabonensis,HUMIRIACEAE,A,tree,evergreen large tree,,,,,
Sacoglottis gabonensis,Sacoglottis gabonensis,HUMIRIACEAE,A,tree,evergreen large tree,,,,,
Endodesmia calophylloides,Endodesmia calophylloides,HYPERICACEAE,A,tree,Tree to 15-17(-30-35) m,,,,,
Harungana madagascarensis,Harungana madagascariensis-type,HYPERICACEAE,A,tree,evergreen shrub or tree up to 12 m tall,,,,,
Harungana madagascariensis,Harungana madagascariensis-type,HYPERICACEAE,A,tree,evergreen shrub or tree up to 12 m tall,,,,,
Hypericaceae Hypericum keniense Typ,Hypericum revolutum-type,HYPERICACEAE,A,tree,shrub or small tree,,,,,
Hypericum cf. H. quartinianum,Hypericum quartinianum-type,HYPERICACEAE,A,tree,shrub 0.5-4.5 m high,,,,,
Capitanya-type otostegioides,Coleus-type otostegioides,LAMIACEAE,A,tree,spreading or trailing shrub,,,,,
Ocimum* kilimandscharicum,Ocimum-type kilimandscharicum,LAMIACEAE,A,tree,perennial undershrub,,,,,
type Capitanya,Coleus-type otostegioides,LAMIACEAE,A,tree,spreading or trailing shrub,,,,,
Lauraceae Ocotea,Ocotea,LAURACEAE,A,tree,evergreen trees or rarely shrubs,,,,,
Persea americana,Persea americana,LAURACEAE,A,tree,evergreen tree to 20 m tall or more,,,,,
Foetidia-type,Foetidia-type,LECYTHIDACEAE,A,tree,Tree,,,,,
Napoleona,Napoleonaea-type,LECYTHIDACEAE,A,tree,trees or erect shrubs,,,,,
Petersianthus,Petersianthus-type macrocarpus,LECYTHIDACEAE,A,tree,deciduous large tree up to 22 m high,,,,,
Petersianthus macrocarpus,Petersianthus-type macrocarpus,LECYTHIDACEAE,A,tree,deciduous large tree up to 22 m high,,,,,
Leea,Leea guineensis,LEEACEAE,A,tree,erect or suberect soft-wooded shrub up to 6 m high,,,,,
Leea guineensis,Leea guineensis,LEEACEAE,A,tree,erect or suberect soft-wooded shrub up to 6 m high,,,,,
Leea guineesis,Leea guineensis,LEEACEAE,A,tree,erect or suberect soft-wooded shrub up to 6 m high,,,,,
Anthocleista grandiflora,Anthocleista grandiflora-type,GENTIANACEAE,A,tree,deciduous tree 7-27 m high,,,,,
Anthocleista nobilis,Anthocleista nobilis-type,GENTIANACEAE,A,tree,tree about 8-18 m high,,,,,
Anthocleista spp.,Anthocleista,GENTIANACEAE,A,tree,erect trees or more rarely scandent shrubs,,,,,
Anthocleista vogelii,Anthocleista vogelii-type,GENTIANACEAE,A,tree,tree 5-18 m high,,,,,
Anthocleista zambesiaca,Anthocleista grandiflora-type,GENTIANACEAE,A,tree,deciduous tree 7-27 m high,,,,,
ANTHOCLIESTA,Anthocleista,GENTIANACEAE,A,tree,erect trees or more rarely scandent shrubs,,,,,
cf. Nuxia,Nuxia-type,STILBACEAE,A,tree,shrubs or trees,,,,,
Nuxia,Nuxia-type,STILBACEAE,A,tree,shrubs or trees,,,,,
Nuxia congesta,Nuxia-type congesta,STILBACEAE,A,tree,evergreen tree or shrub 2-25 m tall,,,,,
Nuxia floribunda,Nuxia-type floribunda,STILBACEAE,A,tree,tree up to 20 m tall or large shrub,,,,,
Nuxia-type,Nuxia-type,STILBACEAE,A,tree,shrubs or trees,,,,,
t.Anthocleista,Anthocleista,GENTIANACEAE,A,tree,erect trees or more rarely scandent shrubs,,,,,
cf Dobera/Nuxia,Nuxia/Dobera,STILBACEAE/SALVADORACEAE,A,tree,trees or shrubs,,,,,
Dobera/Nuxia (Salvadoraceae),Nuxia/Dobera,STILBACEAE/SALVADORACEAE,A,tree,trees or shrubs,,,,,
Khaja-type,Khaya-type,MELIACEAE,A,tree,large trees,,,,,
Khaya,Khaya-type,MELIACEAE,A,tree,large trees,,,,,
Khaya senegalensis,Khaya-type senegalensis,MELIACEAE,A,tree,tree up to 20 m tall,,,,,
Khaya sp.,Khaya-type,MELIACEAE,A,tree,large trees,,,,,
Khaya-type senegalensis,Khaya-type senegalensis,MELIACEAE,A,tree,tree up to 20 m tall,,,,,
Malleastrum gracile,Malleastrum gracile-type,MELIACEAE,A,tree,Shrub,,,,,
Melia azedarach,Azadirachta indica,MELIACEAE,A,tree,evergreen or deciduous tree up to 15 m tall,,,,,
Melia volkensii,Melia-type volkensii,MELIACEAE,A,tree,deciduous tree up to 15 (-20) m tall,,,,,
Meliaceae,Meliaceae undiff.,MELIACEAE,A,tree,trees,,,,,
Meliaceae - 5,Meliaceae undiff.,MELIACEAE,A,tree,trees,,,,,
Xymalos monospora,Xymalos monospora,MONIMIACEAE,A,tree,(Shrub or) tree,,,,,
MILICIA EXCELSA,Milicia-type excelsa,MORACEAE,A,tree,deciduous tree to 30 m or more,,,,,
Milicia-type excelsa,Milicia-type excelsa,MORACEAE,A,tree,deciduous tree to 30 m or more,,,,,
MORUS,Morus-type mesozygia,MORACEAE,A,tree,deciduous large shrub or tree to 30 m tall,,,,,
Morus-type mesozygia,Morus-type mesozygia,MORACEAE,A,tree,deciduous large shrub or tree to 30 m tall,,,,,
Musanga (type),Musanga-type,MORACEAE,A,tree,trees,,,,,
Musanga cecropoides,Musanga-type cecropioides,MORACEAE,A,tree,tree up to 30 m tall,,,,,
Musanga sp.,Musanga-type,MORACEAE,A,tree,trees,,,,,
Musanga/Myrianthus,Musanga/Myrianthus,MORACEAE,A,tree,trees or shrubs,,,,,
Musanga-type cecropoides,Musanga-type cecropioides,MORACEAE,A,tree,tree up to 30 m tall,,,,,
Myrtus-type nivellei,Myrtus-type nivellei,MYRTACEAE,A,tree,shrub 0.9-3 m tall or sometimes a small tree,,,,,
Psidium guajava,Psidium-type guajava,MYRTACEAE,A,tree,small tree to 12 m tall,,,,,
Psiloxylon mauritianum,Psiloxylon-type mauritianum,MYRTACEAE,A,tree,tree,,,,,
Sygydium,Syzygium-type,MYRTACEAE,A,tree,trees,,,,,
Syzigium,Syzygium-type,MYRTACEAE,A,tree,trees,,,,,
Syzygium (type),Syzygium-type,MYRTACEAE,A,tree,trees,,,,,
Syzygium guineense,Syzygium-type guineense,MYRTACEAE,A,tree,evergreen tree,,,,,
Syzygium guineensis,Syzygium-type guineense,MYRTACEAE,A,tree,evergreen tree,,,,,
Syzygium spp.,Syzygium-type,MYRTACEAE,A,tree,trees,,,,,
SYZYGIUM*,Syzygium-type,MYRTACEAE,A,tree,trees,,,,,
Syzygium/Eugenia,Eugenia/Syzygium,MYRTACEAE,A,tree,trees,,,,,
Syzygium-type guineense,Syzygium-type guineense,MYRTACEAE,A,tree,evergreen tree,,,,,
Strombosiopsis,Strombosiopsis tetrandra,OLACACEAE,A,tree,tree up to 30 m high,,,,,
XIMENIA,Ximenia,OLACACEAE,A,tree,shrubs or trees,,,,,
Ximenia americana,Ximenia americana-type,OLACACEAE,A,tree,shrub or tree to 7-10 m high,,,,,
Ximenia-type,Ximenia,OLACACEAE,A,tree,shrubs or trees,,,,,
cf Fraxinus sp,Fraxinus,OLEACEAE,A,tree,trees or shrubs,,,,,
cf Olea,Olea,OLEACEAE,A,tree,evergreen trees or shrubs,,,,,
cf Olea dunne wand,Olea,OLEACEAE,A,tree,evergreen trees or shrubs,,,,,
cf Olea europea,Olea europaea-type,OLEACEAE,A,tree,evergreen shrub or tree 6-20 m,,,,,
cf. Shrebera,Schrebera,OLEACEAE,A,tree,trees or shrubs,,,,,
CHIONANTHUS* MILBRAEDI,Chionanthus mildbraedii-type,OLEACEAE,A,tree,evergreen tree or shrub 3-10 m tall or more,,,,,
Fraxinus,Fraxinus,OLEACEAE,A,tree,trees or shrubs,,,,,
Fraxinus ornus-type,Fraxinus ornus-type,OLEACEAE,A,tree,tree 4-10 m high,,,,,
Ligustrum,Ligustrum,OLEACEAE,A,tree,shrubby trees,,,,,
Ligustrum vulgare,Ligustrum vulgare-type,OLEACEAE,A,tree,shrubs,,,,,
Linociera cf. L. nilotica,Noronhia nilotica-type,OLEACEAE,A,tree,bush to a medium-sized or even tall tree,,,,,
Noronhia,Noronhia,OLEACEAE,A,tree,trees and shrubs,,,,,
Olea,Olea,OLEACEAE,A,tree,evergreen trees or shrubs,,,,,
OLEA,Olea,OLEACEAE,A,tree,evergreen trees or shrubs,,,,,
olea (oleacea),Olea,OLEACEAE,A,tree,evergreen trees or shrubs,,,,,
Olea (R3c 9),Olea,OLEACEAE,A,tree,evergreen trees or shrubs,,,,,
Olea africana-type,Olea europaea-type,OLEACEAE,A,tree,evergreen shrub or tree 6-20 m,,,,,
Olea capensis,Olea capensis-type,OLEACEAE,A,tree,evergreen shrub or tree 25 m tall,,,,,
Olea capensis type,Olea capensis-type,OLEACEAE,A,tree,evergreen shrub or tree 25 m tall,,,,,
Olea capensis*,Olea capensis-type,OLEACEAE,A,tree,evergreen shrub or tree 25 m tall,,,,,
Olea capensis-type,Olea capensis-type,OLEACEAE,A,tree,evergreen shrub or tree 25 m tall,,,,,
Olea capensis-type ssp. hochstetteri,Olea capensis-type ssp. hochstetteri,OLEACEAE,A,tree,evergreen shrub or tree 25 m tall,,,,,
Olea cf hochstetteri,Olea capensis-type ssp. hochstetteri,OLEACEAE,A,tree,evergreen shrub or tree 25 m tall,,,,,
Olea cf. O. africana,Olea europaea-type,OLEACEAE,A,tree,evergreen shrub or tree 6-20 m,,,,,
Olea cf. O. welwitschi ou Linociera nilotica,Oleaceae undiff.,OLEACEAE,A,tree,evergreen trees or shrubs,,,,,
Olea chrysophylla,Olea europaea-type,OLEACEAE,A,tree,evergreen shrub or tree 6-20 m,,,,,
Olea europaea,Olea europaea-type,OLEACEAE,A,tree,evergreen shrub or tree 6-20 m,,,,,
OLEA EUROPAEA subsp.afric,Olea europaea-type ssp africana,OLEACEAE,A,tree,evergreen shrub or tree 2-16 m tall,,,,,
Olea europaea*,Olea europaea-type,OLEACEAE,A,tree,evergreen shrub or tree 6-20 m,,,,,
Olea europaea-type,Olea europaea-type,OLEACEAE,A,tree,evergreen shrub or tree 6-20 m,,,,,
Olea europea,Olea europaea-type,OLEACEAE,A,tree,evergreen shrub or tree 6-20 m,,,,,
Olea europea ssp. Africana,Olea europaea-type ssp. africana,OLEACEAE,A,tree,evergreen shrub or tree 2-16 m tall,,,,,
Olea hochestetteri,Olea capensis-type ssp. hochstetteri,OLEACEAE,A,tree,evergreen shrub or tree 25 m tall,,,,,
Olea hochstetterii,Olea capensis-type ssp. hochstetteri,OLEACEAE,A,tree,evergreen shrub or tree 25 m tall,,,,,
Olea laperrini,Olea lapperrinei-type,OLEACEAE,A,tree,shrub 2-3 m high,,,,,
Olea lapperrinei,Olea lapperrinei-type,OLEACEAE,A,tree,shrub 2-3 m high,,,,,
Olea lapperrini,Olea lapperrinei-type,OLEACEAE,A,tree,shrub 2-3 m high,,,,,
Olea non chrysophylla,Olea,OLEACEAE,A,tree,evergreen trees or shrubs,,,,,
Olea sp. Cf type O. hochstetteri,Olea capensis-type ssp. hochstetteri,OLEACEAE,A,tree,evergreen shrub or tree 25 m tall,,,,,
Olea type africana,Olea europaea-type,OLEACEAE,A,tree,evergreen shrub or tree 6-20 m,,,,,
Olea type hochstetteri,Olea capensis-type ssp. hochstetteri,OLEACEAE,A,tree,evergreen shrub or tree 25 m tall,,,,,
Phillyrea sp,Phillyrea,OLEACEAE,A,tree,evergreen trees or shrubs,,,,,
Picconia,Picconia,OLEACEAE,A,tree,trees,,,,,
Schrebera,Schrebera,OLEACEAE,A,tree,trees or shrubs,,,,,
Schrebera arborea,Schrebera arborea-type,OLEACEAE,A,tree,tree to 3 m high,,,,,
Shrebera alata,Schrebera alata-type,OLEACEAE,A,tree,evergreen shrub or usually tree 1.5-15 m tall,,,,,
cf. Olinia,Olinia,OLINIACEAE,A,tree,evergreen trees or shrubs,,,,,
Olinia,Olinia,OLINIACEAE,A,tree,evergreen trees or shrubs,,,,,
Microdesmis,Microdesmis,PANDACEAE,A,tree,trees or shrubs,,,,,
Microdesmis puberula,Microdesmis puberula-type,PANDACEAE,A,tree,shrub up to 6 m high,,,,,
Microdesmis type klaineana,Microdesmis klainei-type,PANDACEAE,A,tree,small tree 5m high,,,,,
Pandaceae,Pandaceae undiff.,PANDACEAE,A,tree,trees or shrubs,,,,,
Pandanaceae,Pandanaceae undiff.,PANDANACEAE,A,tree,trees,,,,,
Pandanus (Mauritius type 131,,,,,,,,,,
Pandanus candelabrum-type,Pandanus candelabrum-type,PANDANACEAE,A,tree,tree 3-10 m high,,,,,
Pandarus candelabrum,Pandanus candelabrum-type,PANDANACEAE,A,tree,tree 3-10 m high,,,,,
Barteria,Barteria nigritana,PASSIFLORACEAE,A,tree,shrub or tree 10-25 m tall,,,,,
Smeathmania sp.,Smeathmannia,PASSIFLORACEAE,A,tree,shrubs or small trees,,,,,
Searsia-type (S. tripartita),Searsia-type tripartita,ANACARDIACEAE,A,tree,a low spiny bush,,,,,
Sorindeia,Sorindeia-type,ANACARDIACEAE,A,tree,shrubs,,,,,
Sorindeia-type,Sorindeia-type,ANACARDIACEAE,A,tree,shrubs,,,,,
Sorindeia-type madagascariensis,Sorindeia-type madagascariensis,ANACARDIACEAE,A,tree,evergreen tree 8-20 m high,,,,,
Spondias,Spondias,ANACARDIACEAE,A,tree,trees,,,,,
Spondias sp.,Spondias,ANACARDIACEAE,A,tree,trees,,,,,
Spondias-type mombin,Spondias monbin-type,ANACARDIACEAE,A,tree,deciduous tree to 18 m high,,,,,
Thyrsodium africanum,Sorindeia-type africana,ANACARDIACEAE,A,tree,shrub or small tree,,,,,
Trichoscypha cf. congoensis,Trichoscypha-type acuminata,ANACARDIACEAE,A,tree,Unbranched or poorly branched tree 15-20 m tall,,,,,
Trichoscypha oba-type,Trichoscypha-type lucens,ANACARDIACEAE,A,tree,small tree or shrub,,,,,
type Campnosperma,Campnosperma-type,ANACARDIACEAE,A,tree,trees,,,,,
Type Lannea,Lannea-type,ANACARDIACEAE,A,tree,trees or shrubs (or suffrutices),,,,,
type Rhus,Rhus-type,ANACARDIACEAE,A,tree,trees or shrubs,,,,,
Anisophylleaceae,Anisophylleaceae undiff.,ANISOPHYLLEACEAE,A,tree,trees or shrubs,,,,,
Annona senegalensis-type,Annona senegalensis-type,ANNONACEAE,A,tree,deciduous shrub or small trees 1.5-10 m tall,,,,,
Annona sp.,Annona,ANNONACEAE,A,tree,trees or shrubs,,,,,
Annona squamosa,Annona squamosa-type,ANNONACEAE,A,tree,shrub,,,,,
Annona-type senegalensis,Annona senegalensis-type,ANNONACEAE,A,tree,deciduous shrub or small trees 1.5-10 m tall,,,,,
Cananga,Cananga odorata,ANNONACEAE,A,tree,tree 6-18 (-33) m tall,,,,,
Cleistopholis patens,Cleistopholis-type patens,ANNONACEAE,A,tree,tree up to 30 m,,,,,
Cleistopholis-type patens,Cleistopholis-type patens,ANNONACEAE,A,tree,tree up to 30 m,,,,,
Hexalobus crispiflorus,Hexalobus crispiflorus-type,ANNONACEAE,A,tree,tree 18-25 m,,,,,
Isolona-type,Isolona,ANNONACEAE,A,tree,trees or shrubs,,,,,
Monodora tenuifolia,Monodora tenuifolia,ANNONACEAE,A,tree,tree to 20 m tall,,,,,
Piptostigma,Piptostigma,ANNONACEAE,A,tree,Shrub or small tree,,,,,
type Isolona,Isolona,ANNONACEAE,A,tree,trees or shrubs,,,,,
Uvaria chamae,Uvaria chamae-type,ANNONACEAE,A,tree,scandent shrub or small tree,,,,,
Xylopia aethiopica,Xylopia aethiopica-type,ANNONACEAE,A,tree,tree up to 18 m,,,,,
Xylopia parviflora,Xylopia longipetala-type,ANNONACEAE,A,tree,tree 6-24 m tall,,,,,
Xylopia rubescens,Xylopia rubescens-type,ANNONACEAE,A,tree,tree up to 27 m,,,,,
Steganotaenia-type araliacea,Steganotaenia-type araliacea,APIACEAE,A,tree,samll trees,,,,,
Acokanthera,Acokanthera-type,APOCYNACEAE,A,tree,trees or shrubs,,,,,
Acokanthera-type schimperi,Acokanthera-type schimperi,APOCYNACEAE,A,tree,evergreen shrub or tree 1-10 m high,,,,,
Adenium,Adenium,APOCYNACEAE,A,tree,(succulent) shrubs or erect small trees (up to 5 m tall),,,,,
Adenium obesum,Adenium obesum-type,APOCYNACEAE,A,tree,erect succulent shrub or small tree 0.3-5 m high,,,,,
Adenium obesum-type,Adenium obesum-type,APOCYNACEAE,A,tree,erect succulent shrub or small tree 0.3-5 m high,,,,,
Adenium-type obesum,Adenium obesum-type,APOCYNACEAE,A,tree,erect succulent shrub or small tree 0.3-5 m high,,,,,
Alstonia,Alstonia-type,APOCYNACEAE,A,tree,shrubs or trees,,,,,
Alstonia boonei,Alstonia-type boonei,APOCYNACEAE,A,tree,deciduous tree up to 40 m tall,,,,,
Alstonia comp.,Alstonia-type,APOCYNACEAE,A,tree,shrubs or trees,,,,,
Alstonia congensis,Alstonia-type boonei,APOCYNACEAE,A,tree,deciduous tree up to 40 m tall,,,,,
Alstonia/Landolphia,Alstonia/Landolphia,APOCYNACEAE,A,tree,shrubs or trees,,,,,
Alstonia-type,Alstonia-type,APOCYNACEAE,A,tree,shrubs or trees,,,,,
Alstonia-type boonei,Alstonia-type boonei,APOCYNACEAE,A,tree,deciduous tree up to 40 m tall,,,,,
Alstonia-type congensis,Alstonia-type boonei,APOCYNACEAE,A,tree,deciduous tree up to 40 m tall,,,,,
Carissa cf. edulis,Carissa spinarum-type,APOCYNACEAE,A,tree,evergreen erect shrub or small tree up to 5 m high,,,,,
Carissa edulis,Carissa spinarum-type,APOCYNACEAE,A,tree,evergreen erect shrub or small tree up to 5 m high,,,,,
Carissa edulis-type,Carissa spinarum-type,APOCYNACEAE,A,tree,evergreen erect shrub or small tree up to 5 m high,,,,,
Carissa-type edulis,Carissa spinarum-type,APOCYNACEAE,A,tree,evergreen erect shrub or small tree up to 5 m high,,,,,
cf. Adenium (P3p 1),Adenium,APOCYNACEAE,A,tree,(succulent) shrubs or erect small trees (up to 5 m tall),,,,,
Funtumia,Funtumia-type,APOCYNACEAE,A,tree,trees,,,,,
Funtumia africana,Funtumia-type africana,APOCYNACEAE,A,tree,tree about 10 m high,,,,,
Funtumia latifolia,Funtumia-type africana,APOCYNACEAE,A,tree,tree about 10 m high,,,,,
Funtumia/Holarrhena/Strophanthus,Funtumia-type,APOCYNACEAE,A,tree,trees,,,,,
Funtumia-type,Funtumia-type,APOCYNACEAE,A,tree,trees,,,,,
Funtumia-type latifolia,Funtumia-type africana,APOCYNACEAE,A,tree,tree about 10 m high,,,,,
Futumia latifolia,Funtumia-type africana,APOCYNACEAE,A,tree,tree about 10 m high,,,,,
Hollarhena,Holarrhena-type,APOCYNACEAE,A,tree,deciduous shrubs or trees up to 25 m high,,,,,
hollarhena,Holarrhena-type,APOCYNACEAE,A,tree,deciduous shrubs or trees up to 25 m high,,,,,
Hollarhena-tpe,Holarrhena-type,APOCYNACEAE,A,tree,deciduous shrubs or trees up to 25 m high,,,,,
Hollarhena-type,Holarrhena-type,APOCYNACEAE,A,tree,deciduous shrubs or trees up to 25 m high,,,,,
Hollarrhena-type,Holarrhena-type,APOCYNACEAE,A,tree,deciduous shrubs or trees up to 25 m high,,,,,
Mascarenhasia,Mascarenhasia-type,APOCYNACEAE,A,tree,Shrubs or small trees,,,,,
Nerium,Nerium oleander,APOCYNACEAE,A,tree,shrubs,,,,,
Nerium cf.,Nerium oleander,APOCYNACEAE,A,tree,shrubs,,,,,
Nerium oleander,Nerium oleander,APOCYNACEAE,A,tree,shrubs,,,,,
Nerium-type,Nerium oleander,APOCYNACEAE,A,tree,shrubs,,,,,
Pachypodium,Pachypodium,APOCYNACEAE,A,tree,succulent shrubs or trees,,,,,
Pachypodium-type,Pachypodium,APOCYNACEAE,A,tree,succulent shrubs or trees,,,,,
Picralima-type,Picralima-type nitida,APOCYNACEAE,A,tree,tree or shrub 3-23 m high,,,,,
Pleiocarpa,Pleiocarpa,APOCYNACEAE,A,tree,trees or shrubs,,,,,
Pleiocarpa-type,Pleiocarpa,APOCYNACEAE,A,tree,trees or shrubs,,,,,
Rauvolfia,Rauvolfia,APOCYNACEAE,A,tree,shrubs or trees,,,,,
Rauvolfia caffra,Rauvolfia caffra-type,APOCYNACEAE,A,tree,deciduous to evergreen small to large tree up to 20 m high,,,,,
Rauvolfia spp.,Rauvolfia,APOCYNACEAE,A,tree,shrubs or trees,,,,,
Rauvolfia vomitoria,Rauvolfia vomitoria-type,APOCYNACEAE,A,tree,small shrub or tree up to 15 m high,,,,,
Rauvolfia vomitoria-type,Rauvolfia vomitoria-type,APOCYNACEAE,A,tree,small shrub or tree up to 15 m high,,,,,
Rauwolfia,Rauvolfia,APOCYNACEAE,A,tree,shrubs or trees,,,,,
Strophanthus mirabilis,Strophanthus-type mirabilis,APOCYNACEAE,A,tree,shrub 1-3 m high,,,,,
Tabernaemontana crassa,Tabernaemontana crassa-type,APOCYNACEAE,A,tree,small to medium-sized tree,,,,,
Tabernaemontana crassa-type,Tabernaemontana crassa-type,APOCYNACEAE,A,tree,small to medium-sized tree,,,,,
Tambanaemontana,Tabernaemontana,APOCYNACEAE,A,tree,erect trees or shrubs,,,,,
Thevetia sp.,Cascabela thevetia,APOCYNACEAE,A,tree,tree,,,,,
type Adenium,Adenium,APOCYNACEAE,A,tree,(succulent) shrubs or erect small trees (up to 5 m tall),,,,,
type Ancylobotrys,Acylobotrys,APOCYNACEAE,A,tree,Much-branched twiggy shrub,,,,,
Voacanga,Voacanga-type,APOCYNACEAE,A,tree,trees or shrubs,,,,,
Voacanga-type,Voacanga-type,APOCYNACEAE,A,tree,trees or shrubs,,,,,
Aquifoliaceae,Ilex mitis,AQUIFOLIACEAE,A,tree,evergreen shrub,,,,,
Aquifoliaceae Ilex,Ilex mitis,AQUIFOLIACEAE,A,tree,evergreen shrub,,,,,
Cf Ilex,Ilex mitis,AQUIFOLIACEAE,A,tree,evergreen shrub,,,,,
Ilex,Ilex mitis,AQUIFOLIACEAE,A,tree,evergreen shrub,,,,,
ILEX,Ilex mitis,AQUIFOLIACEAE,A,tree,evergreen shrub,,,,,
Ilex cf. I. mitis,Ilex mitis,AQUIFOLIACEAE,A,tree,evergreen shrub,,,,,
Ilex cf. mitis,Ilex mitis,AQUIFOLIACEAE,A,tree,evergreen shrub,,,,,
Ilex cf.. Mitis,Ilex mitis,AQUIFOLIACEAE,A,tree,evergreen shrub,,,,,
Ilex cf.. mitis,Ilex mitis,AQUIFOLIACEAE,A,tree,evergreen shrub,,,,,
Ilex mitis,Ilex mitis,AQUIFOLIACEAE,A,tree,evergreen shrub,,,,,
ILEX MITIS,Ilex mitis,AQUIFOLIACEAE,A,tree,evergreen shrub,,,,,
Ilex sp.,Ilex mitis,AQUIFOLIACEAE,A,tree,evergreen shrub,,,,,
Ilex spp.,Ilex mitis,AQUIFOLIACEAE,A,tree,evergreen shrub,,,,,
Ilex type 2,Ilex mitis,AQUIFOLIACEAE,A,tree,evergreen shrub,,,,,
Cf Polyscias,Polyscias,ARALIACEAE,A,tree,trees or shrubs,,,,,
cf. Polyscias ferruginea,Polyscias fulva-type,ARALIACEAE,A,tree,evergreen tree up to 30 m high,,,,,
Cussonia,Cussonia,ARALIACEAE,A,tree,evergreen or deciduous trees or shrubs,,,,,
Cussonia arborea-type,Cussonia arborea-type,ARALIACEAE,A,tree,deciduous tree up to 10 m high or shrub,,,,,
Cussonia barteri,Cussonia arborea-type,ARALIACEAE,A,tree,deciduous tree up to 10 m high or shrub,,,,,
CUSSONIA BARTERI,Cussonia arborea-type,ARALIACEAE,A,tree,deciduous tree up to 10 m high or shrub,,,,,
Cussonia cf. C.barteri,Cussonia arborea-type,ARALIACEAE,A,tree,deciduous tree up to 10 m high or shrub,,,,,
Cussonia kirkii,Cussonia arborea-type,ARALIACEAE,A,tree,deciduous tree up to 10 m high or shrub,,,,,
Cussonia type,Cussonia,ARALIACEAE,A,tree,evergreen or deciduous trees or shrubs,,,,,
Cussonia*,Cussonia,ARALIACEAE,A,tree,evergreen or deciduous trees or shrubs,,,,,
CUSSONIA*,Cussonia,ARALIACEAE,A,tree,evergreen or deciduous trees or shrubs,,,,,
Cussonia-type,Cussonia,ARALIACEAE,A,tree,evergreen or deciduous trees or shrubs,,,,,
Polyschias,Polyscias,ARALIACEAE,A,tree,trees or shrubs,,,,,
Polyscias,Polyscias,ARALIACEAE,A,tree,trees or shrubs,,,,,
POLYSCIAS,Polyscias,ARALIACEAE,A,tree,trees or shrubs,,,,,
Polyscias (cf),Polyscias,ARALIACEAE,A,tree,trees or shrubs,,,,,
