"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Acanthus","Acer","Aizoaceae t.","Alchemilla t.","Alismataceae","Alnus","Amaranthaceae undif.","Ambrosia t.","Anagallis t.","Anthoceros t.","Apiaceae undif.","Araceae","Arbutus","Artemisia","Asphodelus/Asphodeline","Asteroideae undif.","Atropa-type","Berberis-type","Betula","Betulaceae undif.","Brassicaceae","Bryonia","Buxus","Callitriche","Campanulaceae","Cannabaceae undif.","Cardueae undif.","Carya","Caryophyllaceae undif.","Castanea","Cedrus","Centaurea","Ceratonia","Cercis","Cichorieae","Cistaceae","Convolvulaceae","Corylus","Crassulaceae","Cryptogramma-type","Cupressaceae","Cuscuta","Cyclamen","Cyperaceae","Dioscorea","Dipsacaceae","Echium t.","Ephedra","Erica t.","Eucalyptus","Euphorbia t.","Fabaceae Undif.","Fagus","Fern","Ficus","Fraxinus","Fumaria","Galium t.","Genisteae","Gentiana t.","Geranium","Hedera","Hypecoum","Hypericum undif.","Indeterminable","IsoÃ«tes","Juglans","Juncaceae","Lamiaceae undif.","Lavatera","Lemnaceae","Linum t.","Lotus t.","Lycopodium spike","Lythrum","Matthiola","Mercurialis","Morus","Myriophyllum spicatum/verticillatum t.","Myrtus","Nerium","Olea t.","Onagraceae","Ononis t.","Oxalis","Paeonia","Papaver t.","Persicaria t.","Petaloid monocot","Phillyrea","Pilularia","Pinus undif.","Pistacia","Plantago","Platanus","Poaceae","Poaceae (Cerealia-type)","Polygonum t.","Polypodium-type","Populus","Potamogeton","Potentilla t.","Primula","Prunus t.","Pteridophyta (monolete)","Punica granatum","Quercus deciduous","Quercus evergreen","Quercus undif.","Ranunculaceae undif.","Rhamnus","Ribes","Riccia-type","Rosa t.","Rosaceae undif.","Rumex subg. Emex","Rumex t.","Ruppia","Salix","Sambucus","Sarcopoterium","Saxifragaceae","Scrophulariaceae undif.","Secale","Smilax","Solanum","Spergularia t.","Sphagnum-type","Styrax","Tamarix","Taxus","Thalictrum","Theligonum","Thymelaeaceae undif.","Tilia","Trifolium t.","Typha","Ulmus t.","Urtica t.","Utricularia","Valeriana t.","Viburnum","Vicia/Lathyrus","Vitex","Vitis"
" -62",NA,NA,"   1","   1","   0","   0","   0","   0","   0","   1","   6","   2","   0","   0","   1","   0","   0","   3","   0","   6","   2","   0","   0","   1","   1","   0","   0","   0","   0","   0","   0","   0","   1","   1","   0","   0","   1","   0","   3","   0","   0","   0","   0","   0","  33","   0","   0","   4","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   7","   0","   0","   0","   0","   0","   0","   0","   0","   4","   0","   1","   0","  10","   0","   1","   0","   0","1492","   0","   0","   0","   0","   1","   0","   0","  94","   0","   0","   0","   0","   1","   0","   0","  10","   0","   5","  23","   5","   2","  13","   1","   1","   0","   1","   0","   0","   0","   0","   0","   0","  10","  94","   1","   4","   0","   0","   0","   1","   0","   0","   4","   0","   0","   0","   2","   0","   5","   0","   0","   0","   0","   0","   2","   0","   0","   3","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   5"
"-32.0",NA,NA,"  4.5","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  4.0","  1.0","  0.0","  0.0","  2.0","  0.0","  0.0","  1.0","  0.0","  4.0","  0.0","  0.0","  0.0","  2.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  3.0","  2.0","  0.0","  0.0","  0.0","  0.0"," 34.0","  0.0","  0.0","  5.0","  0.0","  0.0","  0.0","  0.0","  4.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  4.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  8.0","  0.0","  0.0","  0.0","  3.0","  0.0","  0.0","  0.0","  0.0","874.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0"," 97.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  4.0","  0.0","  6.0"," 15.0"," 10.0","  7.0"," 20.0","  2.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  3.0"," 81.0"," 13.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  2.0","  0.0","  0.0","  0.0","  6.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  1.0","  0.0","  2.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  3.0","  0.0","  0.0","  0.0","  1.0","  5.0"," 10.0"
"  2.0",NA,NA,"  7.5","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  2.0","  5.0","  0.0","  0.0","  0.0","  2.0","  0.0","  0.0","  5.0","  0.0","  4.0","  0.0","  2.0","  0.0","  1.0","  4.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  2.0","  0.0","  0.0","  0.0","  0.0","  0.0"," 16.0","  3.0","  0.0","  1.0","  0.0","  0.0"," 27.0","  0.0","  0.0"," 11.0","  0.0","  1.0","  0.0","  0.0","  6.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  4.0","  0.0","  1.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0"," 13.0","  2.0","  1.0","  0.0","  6.0","  1.0","  0.0","  0.0","  0.0","927.0","  0.0","  0.0"," 10.0","  0.0","  0.0","  1.0","  0.0","112.0","  0.0","  1.0","  0.0","  0.0","  3.0","  0.0","  0.0"," 14.0","  0.0"," 15.0"," 26.0","  2.0","  4.0"," 53.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  2.0","  1.0","  0.0"," 14.0"," 96.0"," 11.0","  1.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  5.0","  0.0","  0.0","  0.0"," 12.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  2.0","  2.0","  2.0","  0.0","  0.0","  0.0","  0.0","  1.0","  9.0"
"  50.0",NA,NA,"  11.5","   0.0","   0.0","   2.0","   0.0","   0.0","   0.0","   0.0","   2.0","   0.0","   0.0","   2.0","   2.0","   0.0","   0.0","   5.0","   1.0","   6.0","   0.0","   0.0","   0.0","   0.0","   2.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   2.0","   0.0","   0.0","   0.0","   0.0","   0.0","  25.0","   1.0","   0.0","   0.0","   0.0","   0.0","  11.0","   0.0","   0.0","   9.0","   0.0","   1.0","   1.0","   2.0","   8.0","   1.0","   0.0","   2.0","   0.0","   2.0","   0.0","   8.0","   0.0","   0.0","   2.0","   0.0","   0.0","   0.0","   0.0","   2.0","  10.0","   0.0","   0.0","   0.0","   8.0","   0.0","   0.0","   0.0","   0.0","1678.0","   1.0","   0.0","   2.0","   1.0","   0.0","   0.0","   0.0","  93.0","   0.0","   0.0","   0.0","   0.0","   2.0","   0.0","   1.0","  14.0","   0.0","   8.0","  12.0","  11.0","   0.0","  47.0","   2.0","   2.0","   0.0","   0.0","   4.0","   0.0","   0.0","   0.0","   1.0","   0.0","   6.0","  33.0","   4.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   8.0","   0.0","   0.0","   0.0","  15.0","   0.0","   4.0","   0.0","   0.0","   0.0","   3.0","   0.0","   1.0","   0.0","   0.0","   3.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   2.0","   0.0","   0.0","   0.0","   2.0","   1.0","   7.0"
" 77.0",NA,NA," 13.5","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  5.0","  0.0","  0.0","  1.0","  5.0","  0.0","  0.0"," 11.0","  0.0"," 10.0","  0.0","  0.0","  0.0","  0.0","  4.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  3.0","  0.0","  0.0","  0.0","  0.0","  0.0"," 18.0","  1.0","  0.0","  0.0","  2.0","  0.0"," 15.0","  1.0","  0.0","  8.0","  0.0","  2.0","  0.0","  0.0","  5.0","  0.0","  1.0","  1.0","  0.0","  3.0","  0.0","  8.0","  0.0","  1.0","  0.0","  0.0","  0.0","  1.0","  0.0","  2.0"," 13.0","  2.0","  0.0","  3.0"," 20.0","  0.0","  0.0","  0.0","  0.0","946.0","  0.0","  0.0","  3.0","  0.0","  1.0","  3.0","  0.0"," 87.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  7.0","  0.0","  9.0"," 26.0","  8.0","  4.0"," 58.0","  6.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0"," 26.0"," 18.0","  8.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0"," 13.0","  0.0","  0.0","  0.0"," 19.0","  0.0","  0.0","  2.0","  0.0","  0.0","  1.0","  0.0","  4.0","  0.0","  0.0","  3.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  2.0"," 15.0"
" 104.0",NA,NA,"  15.5","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   5.0","   0.0","   0.0","   0.0","   4.0","   0.0","   0.0","   9.0","   0.0","   5.0","   0.0","   0.0","   1.0","   1.0","   4.0","   0.0","   0.0","   0.0","   0.0","   0.0","   4.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","  13.0","   1.0","   0.0","   0.0","   1.0","   0.0","  11.0","   0.0","   0.0","  13.0","   0.0","   1.0","   0.0","   0.0","   6.0","   0.0","   0.0","   2.0","   0.0","   1.0","   0.0","  17.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   3.0","  10.0","   0.0","   0.0","   4.0","   6.0","   0.0","   0.0","   0.0","   0.0","1189.0","   1.0","   0.0","   3.0","   0.0","   2.0","   2.0","   0.0","  84.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   3.0","   0.0","   8.0","  24.0","   7.0","   0.0","  73.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0","   2.0","   0.0","  16.0","  55.0","   3.0","   1.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","  14.0","   0.0","   0.0","   0.0","  15.0","   0.0","   0.0","   1.0","   2.0","   0.0","   0.0","   0.0","   2.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   2.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   5.0"
" 133.0",NA,NA,"  17.5","   0.0","   0.0","   0.0","   0.0","   0.0","   4.0","   2.0","   5.0","   1.0","   0.0","   2.0","   9.0","   0.0","   0.0","   8.0","   0.0","  12.0","   0.0","   1.0","   0.0","   1.0","  11.0","   0.0","   0.0","   0.0","   0.0","   0.0","   2.0","   0.0","   0.0","   0.0","   0.0","   2.0","   0.0","   0.0","  31.0","   0.0","   0.0","   4.0","   1.0","   0.0","  15.0","   0.0","   0.0","  19.0","   0.0","   1.0","   0.0","   0.0","   7.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","  10.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","  17.0","   7.0","   0.0","   2.0","  26.0","   1.0","   0.0","   0.0","   0.0","1036.0","   0.0","   0.0","   5.0","   0.0","   3.0","   0.0","   0.0","  44.0","   0.0","   0.0","   0.0","   0.0","   2.0","   0.0","   1.0","   9.0","   0.0","  11.0","  50.0","  18.0","   4.0","  76.0","   9.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","  40.0","  49.0","  11.0","   4.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","  12.0","   0.0","   0.0","   0.0","  20.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   5.0","   0.0","   0.0","   4.0","   1.0","   1.0","   0.0","   0.0","   0.0","   1.0","   8.0","   0.0","   0.0","   1.0","   0.0","   2.0","  30.0"
" 163.0",NA,NA,"  19.5","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   2.0","   4.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   6.0","   1.0","  10.0","   0.0","   1.0","   0.0","   3.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   1.0","   0.0","   0.0","   1.0","   0.0","  15.0","   1.0","   0.0","   0.0","   0.0","   0.0","  11.0","   0.0","   0.0","  20.0","   0.0","   0.0","   0.0","   1.0","   8.0","   0.0","   1.0","   0.0","   1.0","   2.0","   0.0","   4.0","   0.0","   0.0","   2.0","   2.0","   0.0","   0.0","   1.0","   2.0","  10.0","  11.0","   1.0","   0.0","  13.0","   0.0","   0.0","   0.0","   1.0","1673.0","   1.0","   0.0","   5.0","   0.0","   6.0","   0.0","   0.0","  52.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","   2.0","   5.0","   0.0","   5.0","  18.0","  17.0","   6.0","  66.0","   6.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   2.0","   2.0","   0.0","   1.0","  48.0","   2.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","  17.0","   0.0","   1.0","   0.0","  22.0","   1.0","   3.0","   4.0","   0.0","   0.0","   0.0","   0.0","   3.0","   0.0","   0.0","   2.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   1.0","  25.0"
"211.0",NA,NA," 22.5","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  6.0","  0.0","  0.0","  1.0","  9.0","  0.0","  0.0"," 10.0","  0.0","  8.0","  0.0","  0.0","  0.0","  3.0"," 14.0","  0.0","  0.0","  0.0","  0.0","  0.0","  2.0","  0.0","  1.0","  0.0","  0.0","  1.0","  0.0","  0.0"," 19.0","  2.0","  0.0","  2.0","  0.0","  0.0","  7.0","  0.0","  0.0"," 22.0","  0.0","  1.0","  0.0","  2.0"," 10.0","  0.0","  0.0","  1.0","  0.0","  2.0","  0.0"," 12.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0"," 12.0","  7.0","  1.0","  6.0"," 18.0","  0.0","  0.0","  1.0","  0.0","796.0","  0.0","  0.0","  7.0","  0.0","  5.0","  1.0","  1.0"," 24.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  6.0","  0.0","  6.0"," 15.0"," 20.0","  5.0"," 73.0","  7.0","  0.0","  0.0","  0.0","  2.0","  1.0","  0.0","  0.0","  0.0","  1.0"," 17.0"," 40.0","  3.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  9.0","  0.0","  0.0","  0.0"," 20.0","  3.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0"," 13.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  4.0","  0.0","  0.0","  0.0","  0.0","  1.0"," 35.0"
" 261.0",NA,NA,"  25.5","   0.0","   0.0","   2.0","   0.0","   0.0","   0.0","   0.0","   3.0","   0.0","   0.0","   0.0","   3.0","   0.0","   0.0","   5.0","   1.0","   3.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   8.0","   0.0","   0.0","   2.0","   0.0","   0.0","   4.0","   0.0","   0.0","  10.0","   1.0","   0.0","   0.0","   1.0","   8.0","   0.0","   1.0","   5.0","   4.0","   0.0","   0.0","   1.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   7.0","   0.0","   0.0","   0.0","  12.0","   1.0","   0.0","   0.0","   1.0","1106.0","   0.0","   0.0","   3.0","   0.0","   5.0","   1.0","   0.0","  37.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   4.0","   0.0","   5.0","  22.0","  10.0","   0.0","  63.0","   3.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   1.0","   0.0","   0.0","   2.0","  47.0","   3.0","   1.0","   1.0","   0.0","   0.0","   1.0","   0.0","   0.0","   7.0","   0.0","   0.0","   0.0","  19.0","   1.0","   4.0","   2.0","   0.0","   0.0","   0.0","   0.0","   6.0","   0.0","   0.0","   4.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   7.0","  51.0"
" 296.0",NA,NA,"  27.5","   0.0","   1.0","   0.0","   0.0","   0.0","   1.0","   2.0","   1.0","   1.0","   1.0","   4.0","  12.0","   0.0","   0.0","  10.0","   0.0","  14.0","   0.0","   1.0","   1.0","   0.0","  21.0","   0.0","   0.0","   0.0","   0.0","   0.0","   5.0","   0.0","   0.0","   1.0","   0.0","   0.0","   1.0","   0.0","  35.0","   0.0","   0.0","   2.0","   0.0","   0.0","   2.0","   0.0","   0.0","  28.0","   0.0","   0.0","   0.0","   1.0","  14.0","   0.0","   0.0","   0.0","   0.0","   2.0","   0.0","  15.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","   1.0","  12.0","   3.0","   0.0","   7.0","  17.0","   0.0","   0.0","   0.0","   0.0","1150.0","   0.0","   0.0","   2.0","   0.0","  14.0","   1.0","   0.0","  30.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   3.0","   0.0","   4.0","  19.0","  15.0","   0.0","  62.0","   9.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","  13.0","  73.0","   4.0","   5.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","  15.0","   0.0","   0.0","   0.0","  22.0","   0.0","   0.0","   3.0","   0.0","   0.0","   0.0","   0.0","  13.0","   0.0","   0.0","   3.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   1.0","   0.0","   0.0","   0.0","   0.0","   4.0"," 126.0"
" 349.0",NA,NA,"  30.5","   0.0","   0.0","   0.0","   0.0","   0.0","   6.0","   2.0","   4.0","   0.0","   0.0","   0.0","  10.0","   0.0","   0.0","  15.0","   0.0","   9.0","   0.0","   0.0","   0.0","   0.0","  17.0","   0.0","   0.0","   0.0","   0.0","   0.0","   2.0","   0.0","   2.0","   0.0","   0.0","   2.0","   0.0","   0.0","  69.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   8.0","   0.0","   0.0","   0.0","   0.0","   9.0","   0.0","   0.0","   2.0","   0.0","   4.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","  23.0","   5.0","   0.0","   0.0","  14.0","   0.0","   0.0","   0.0","   0.0","1108.0","   0.0","   0.0","   0.0","   0.0","  18.0","   0.0","   0.0","  40.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","   2.0","   4.0","  14.0","   0.0","  44.0","   3.0","   0.0","   1.0","   0.0","   1.0","   1.0","   0.0","   0.0","   0.0","   0.0","  10.0","  47.0","   8.0","   3.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   6.0","   0.0","   0.0","   0.0","  12.0","   0.0","   2.0","   1.0","   0.0","   0.0","   0.0","   0.0","   6.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   3.0","  33.0"
" 483.0",NA,NA,"  37.7","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   5.0","   0.0","   0.0","   4.0","   4.0","   0.0","   0.0","  14.0","   0.0","  10.0","   0.0","   0.0","   0.0","   2.0","   2.0","   0.0","   0.0","   0.0","   0.0","   1.0","   2.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","  29.0","   1.0","   0.0","   0.0","   1.0","   0.0","   5.0","   0.0","   0.0","  11.0","   0.0","   0.0","   0.0","   0.0","   7.0","   0.0","   0.0","   1.0","   2.0","   2.0","   0.0","   3.0","   0.0","   2.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","  16.0","   0.0","   1.0","   1.0","   7.0","   0.0","   0.0","   0.0","   1.0","1741.0","   0.0","   0.0","   7.0","   0.0","   5.0","   0.0","   0.0","  23.0","   0.0","   0.0","   0.0","   0.0","   2.0","   0.0","   0.0","   3.0","   0.0","  10.0","  13.0","  25.0","   0.0","  81.0","   2.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   4.0","  51.0","   1.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","  15.0","   0.0","   0.0","   0.0","  12.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   1.0","   0.0","   3.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   3.0","  17.0"
" 541.0",NA,NA,"  40.7","   0.0","   0.0","   0.0","   0.0","   0.0","   2.0","   3.0","   6.0","   0.0","   0.0","   2.0","   6.0","   0.0","   0.0","  13.0","   4.0","  10.0","   0.0","   0.0","   0.0","   1.0","  15.0","   0.0","   0.0","   0.0","   0.0","   1.0","   3.0","   0.0","   2.0","   0.0","   0.0","   1.0","   0.0","   0.0","  56.0","   0.0","   0.0","   1.0","   0.0","   0.0","   4.0","   0.0","   0.0","  16.0","   0.0","   0.0","   1.0","   1.0","  10.0","   0.0","   1.0","   2.0","   0.0","   9.0","   0.0","   9.0","   0.0","   1.0","   4.0","   0.0","   1.0","   0.0","   0.0","   2.0","  11.0","   2.0","   0.0","   0.0","  14.0","   0.0","   0.0","   0.0","   0.0","1197.0","   0.0","   0.0","   6.0","   0.0","  25.0","   1.0","   0.0","  21.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   3.0","   0.0","  11.0","  11.0","  21.0","   2.0","  86.0","   6.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   4.0","   0.0","  10.0","  73.0","  10.0","   3.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","  10.0","   0.0","   0.0","   0.0","  25.0","   1.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0","   6.0","   0.0","   0.0","   2.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   3.0","  45.0"
"603.0",NA,NA," 43.9","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  3.0","  0.0","  0.0","  5.0","  6.0","  0.0","  0.0"," 10.0","  3.0"," 13.0","  0.0","  0.0","  1.0","  0.0","  8.0","  0.0","  0.0","  0.0","  0.0","  0.0","  5.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0"," 78.0","  0.0","  0.0","  1.0","  0.0","  0.0","  1.0","  0.0","  0.0","  4.0","  0.0","  1.0","  0.0","  1.0","  8.0","  0.0","  0.0","  1.0","  0.0","  4.0","  0.0","  3.0","  0.0","  1.0","  1.0","  1.0","  0.0","  0.0","  0.0","  0.0"," 20.0","  3.0","  1.0","  0.0"," 14.0","  0.0","  0.0","  0.0","  0.0","858.0","  0.0","  0.0","  2.0","  0.0"," 23.0","  0.0","  0.0"," 11.0","  0.0","  0.0","  0.0","  0.0","  2.0","  0.0","  0.0","  2.0","  0.0"," 15.0","  1.0","  8.0","  1.0"," 73.0","  7.0","  0.0","  0.0","  1.0","  1.0","  0.0","  0.0","  0.0","  2.0","  0.0","  6.0"," 30.0"," 10.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  6.0","  0.0","  0.0","  0.0","  8.0","  1.0","  1.0","  2.0","  0.0","  0.0","  0.0","  0.0","  3.0","  0.0","  0.0","  1.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  2.0","  2.0"," 20.0"
" 681.0",NA,NA,"  47.9","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0","   2.0","   0.0","   0.0","   2.0","   6.0","   0.0","   0.0","   7.0","   1.0","   5.0","   0.0","   0.0","   0.0","   2.0","   3.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","  22.0","   1.0","   0.0","   3.0","   1.0","   0.0","   5.0","   0.0","   0.0","   5.0","   0.0","   0.0","   0.0","   1.0","   6.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   7.0","   0.0","   0.0","   3.0","   1.0","   0.0","   0.0","   0.0","   0.0","  16.0","   0.0","   1.0","   1.0","  17.0","   0.0","   0.0","   0.0","   0.0","1246.0","   0.0","   0.0","   4.0","   0.0","  10.0","   2.0","   0.0","  18.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   1.0","   0.0","  10.0","  14.0","  10.0","   1.0","  73.0","   3.0","   0.0","   0.0","   0.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","  16.0","  60.0","   6.0","   2.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   9.0","   0.0","   0.0","   0.0","  14.0","   0.0","   3.0","   2.0","   0.0","   0.0","   0.0","   0.0","   2.0","   0.0","   0.0","   2.0","   0.0","   0.0","   0.0","   0.0","   3.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   4.0","  10.0"
" 740.0",NA,NA,"  50.9","   0.0","   0.0","   0.0","   0.0","   0.0","   2.0","   2.0","   8.0","   0.0","   0.0","   3.0","  12.0","   0.0","   0.0","   6.0","   2.0","  10.0","   0.0","   0.0","   0.0","   4.0","  16.0","   0.0","   0.0","   0.0","   0.0","   0.0","   2.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","  43.0","   1.0","   2.0","   1.0","   0.0","   0.0","   2.0","   0.0","   0.0","  10.0","   0.0","   0.0","   0.0","   0.0","   8.0","   0.0","   0.0","   1.0","   0.0","   5.0","   0.0","   1.0","   0.0","   3.0","   1.0","   0.0","   0.0","   0.0","   0.0","   1.0","  14.0","   3.0","   2.0","   0.0","  25.0","   0.0","   0.0","   0.0","   0.0","1011.0","   0.0","   0.0","   5.0","   0.0","   3.0","   2.0","   0.0","  12.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","   2.0","  11.0","  13.0","   0.0","  79.0","   5.0","   2.0","   0.0","   3.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","  18.0","  73.0","   3.0","   1.0","   0.0","   0.0","   0.0","   0.0","   0.0","   0.0","  12.0","   0.0","   0.0","   0.0","  10.0","   0.0","   1.0","   2.0","   0.0","   0.0","   0.0","   0.0","   3.0","   0.0","   0.0","   1.0","   1.0","   1.0","   0.0","   0.0","   0.0","   3.0","   0.0","   0.0","   0.0","   0.0","   0.0","   3.0","  43.0"
