"depth","Acacia t.","Acer","Alchornea","Alnus","Amaranthaceae undif.","Apiaceae undif.","Artemisia","Asphodelus t.","Asteroideae undif.","Betula","Blepharis","Bombacaceae","Borreria t.","Brassicaceae","Calligonum","Caylusea","Celastraceae undif.","Centaurea","Chionanthus","Cichorieae","Cistaceae","Cleome","Combretaceae","Corbiconia","Corylus","Cupressaceae","Cyperaceae","Echium t.","Elaeis","Ephedra","Erica t.","Erodium","Euphorbia t.","Faboideae Undif.","Fagus","Fern","Gymnocarpos","Heliotropium","Indeterminable","Lamiaceae undif.","Lannea","Maerua","Manilkara","Moltkia","Ostrya","Petaloid monocot","Pinus undif.","Pistacia","Plantago","Plumbaginaceae","Poaceae","Polygala","Polygonum t.","Prosopis t.","Quercus deciduous","Quercus evergreen","Ranunculaceae undif.","Rhamnaceae undif.","Rhizophora","Rumex t.","Sanguisorba t.","Searsia","Simirestis","Spergularia t.","Sterculia undif.","Strychnos","Tamarix","Tilia","Tribulus","Typha"
" 97.5","  0.0","  0.0","  0.0","  0.0","175.0","  2.0"," 40.0","  0.0","  8.0","  0.0","  0.0","  0.0","  0.0","  1.0","  2.0","  0.0","  0.0","  0.0","  0.0","  3.0","  0.0","  1.0","  0.0","  1.0","  0.0","  0.0"," 66.0","  0.0","  0.0","145.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  5.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0"," 11.0","  0.0","  0.0","  0.0"," 36.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  3.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0"
"117.5","  0.0","  0.0","  0.0","  0.0","254.0","  3.0"," 25.0","  0.0","  5.0","  0.0","  0.0","  0.0","  0.0","  2.0","  0.0","  0.0","  0.0","  0.0","  0.0","  2.0","  2.0","  1.0","  3.0","  0.0","  1.0","  2.0"," 87.0","  0.0","  0.0"," 96.0","  0.0","  0.0","  0.0","  2.0","  0.0","  0.0","  0.0","  0.0","  6.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  6.0","  0.0","  1.0","  0.0"," 14.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  1.0","  0.0","  0.0","  0.0","  2.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0"
"137.5","  0.0","  0.0","  0.0","  0.0","145.0","  0.0"," 49.0","  0.0","  7.0","  0.0","  0.0","  0.0","  0.0","  3.0","  0.0","  0.0","  2.0","  0.0","  0.0","  0.0","  0.0","  2.0","  4.0","  0.0","  1.0","  2.0","146.0","  0.0","  0.0"," 65.0","  0.0","  0.0","  0.0","  2.0","  0.0","  0.0","  0.0","  0.0"," 11.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  7.0","  2.0","  2.0","  0.0"," 71.0","  0.0","  0.0","  1.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  1.0","  0.0","  4.0"
"157.5","  0.0","  0.0","  0.0","  0.0","186.0","  0.0"," 47.0","  0.0","  2.0","  0.0","  0.0","  0.0","  0.0","  4.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  1.0","110.0","  0.0","  0.0","103.0","  0.0","  0.0","  0.0","  3.0","  0.0","  0.0","  0.0","  1.0","  8.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  7.0","  0.0","  1.0","  0.0"," 36.0","  0.0","  0.0","  0.0","  2.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  3.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  7.0"
"179","  0","  0","  0","  0","212","  0"," 36","  0","  7","  0","  0","  0","  0","  4","  3","  0","  0","  0","  0","  3","  0","  0","  3","  0","  0","  4"," 32","  0","  0","190","  2","  0","  1","  0","  0","  0","  0","  0","  3","  0","  0","  0","  0","  0","  0","  0"," 16","  0","  1","  0"," 38","  0","  0","  0","  0","  2","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1"
"197.5","  0.0","  0.0","  0.0","  1.0","235.0","  0.0"," 32.0","  1.0"," 14.0","  0.0","  0.0","  0.0","  0.0","  6.0","  0.0","  0.0","  0.0","  0.0","  0.0","  2.0","  0.0","  3.0","  7.0","  0.0","  1.0","  1.0"," 36.0","  0.0","  0.0","117.0","  1.0","  0.0","  0.0","  1.0","  0.0","  0.0","  2.0","  0.0","  8.0","  1.0","  0.0","  2.0","  0.0","  0.0","  0.0","  0.0","  9.0","  1.0","  1.0","  1.0"," 32.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  3.0","  0.0","  0.0","  0.0","  0.0","  2.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0"
"217.5","  1.0","  1.0","  0.0","  0.0","171.0","  1.0"," 47.0","  0.0"," 11.0","  0.0","  0.0","  0.0","  0.0","  5.0","  5.0","  0.0","  0.0","  0.0","  1.0","  2.0","  1.0","  0.0"," 11.0","  0.0","  1.0","  0.0","104.0","  0.0","  0.0","146.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  2.0","  0.0"," 10.0","  0.0","  0.0","  3.0","  0.0","  0.0","  0.0","  0.0","  2.0","  0.0","  4.0","  0.0"," 41.0","  0.0","  3.0","  0.0","  2.0","  1.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  2.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0"
"237.5","  2.0","  0.0","  0.0","  0.0","208.0","  0.0"," 65.0","  0.0"," 10.0","  0.0","  0.0","  0.0","  0.0","  4.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  2.0","  0.0","  0.0","  0.0","135.0","  0.0","  0.0"," 14.0","  0.0","  0.0","  0.0","  5.0","  0.0","  0.0","  1.0","  0.0","  6.0","  0.0","  0.0","  1.0","  0.0","  0.0","  1.0","  1.0","  3.0","  0.0","  5.0","  0.0"," 39.0","  0.0","  6.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0"
"257.5","  0.0","  0.0","  0.0","  0.0","196.0","  3.0"," 45.0","  0.0"," 10.0","  0.0","  0.0","  0.0","  0.0","  3.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  1.0","  0.0","  2.0","  0.0","  0.0","  0.0"," 66.0","  0.0","  0.0","156.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  1.0","  0.0","  6.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  2.0","  5.0","  0.0","  0.0","  0.0"," 23.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  3.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  2.0"
"275.5","  2.0","  1.0","  2.0","  1.0","145.0","  0.0"," 36.0","  0.0"," 10.0","  0.0","  0.0","  0.0","  0.0","  9.0","  0.0","  0.0","  0.0","  0.0","  0.0","  1.0","  0.0","  1.0"," 17.0","  0.0","  1.0","  0.0","144.0","  0.0","  0.0"," 37.0","  0.0","  0.0","  2.0","  2.0","  0.0","  0.0","  1.0","  0.0","  9.0","  0.0","  1.0","  0.0","  1.0","  0.0","  0.0","  1.0","  8.0","  2.0","  5.0","  0.0"," 99.0","  0.0","  1.0","  0.0","  0.0","  1.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  0.0","  3.0","  0.0","  0.0","  0.0","  0.0","  0.0"," 16.0"
